bldgcl,count,new
A0,8554,
A1,123465,
A2,46590,
A3,7227,
A4,4218,
A5,100744,
A6,828,
A7,423,
A8,29,
A9,22977,
B1,84900,
B2,79019,
B3,60198,
B9,25772,
C0,73098,
C1,15353,
C2,13486,
C3,16258,
C4,2965,
C5,2560,
C6,3282,
C7,7747,
C8,16,
C9,410,
CM,1,
D0,263,
D1,5103,
D2,75,
D3,1315,
D4,3540,
D5,311,
D6,1082,
D7,2060,
D8,149,
D9,582,
E1,3982,
E2,351,
E7,266,
E9,1697,
F1,488,
F2,83,
F4,972,
F5,1568,
F8,26,
F9,565,
G0,2569,
G1,1792,
G2,2065,
G3,175,
G4,393,
G5,169,
G6,535,
G7,5405,
G8,254,
G9,520,
GU,129,
GW,144,
H1,68,
H2,134,
H3,303,
H4,123,
H5,20,
H6,23,
H7,2,
H8,101,
H9,65,
HB,56,
HH,20,
HR,55,
HS,39,
I1,162,
I2,6,
I3,3,
I4,48,
I5,360,
I6,178,
I7,203,
I9,268,
J1,16,
J2,9,
J3,10,
J4,40,
J5,21,
J6,38,
J7,9,
J8,19,
J9,37,
K1,7905,
K2,3713,
K3,48,
K4,6049,
K5,574,
K6,258,
K7,428,
K8,49,
K9,182,
L1,74,
L2,27,
L3,12,
L8,323,
L9,173,
M1,3918,
M2,57,
M3,543,
M4,141,
M9,1020,
N1,17,
N2,311,
N3,9,
N4,7,
N9,294,
O1,450,
O2,1454,
O3,117,
O4,408,
O5,1627,
O6,860,
O7,1208,
O8,668,
O9,147,
P1,13,
P2,166,
P3,44,
P4,14,
P5,285,
P6,79,
P7,90,
P8,210,
P9,178,
Q1,1370,
Q2,595,
Q3,32,
Q4,32,
Q5,19,
Q6,61,
Q7,28,
Q8,84,
Q9,255,
R0,8204,NEW
R1,13005,
R2,12148,
R3,22812,
R4,166290,
R5,566,
R6,1592,
R7,41,
R8,1334,
R9,336,
RA,565,
RB,6558,
RG,11934,
RH,1631,
RK,3617,
RP,5100,
RR,654,
RS,4861,
RT,438,NEW
RW,403,
S0,222,
S1,6084,
S2,14536,
S3,3057,
S4,2573,
S5,2649,
S9,4247,
T1,16,
T2,192,
T9,100,
U0,88,
U1,438,
U2,317,
U4,86,
U5,14,
U6,781,
U7,1798,
U8,147,
U9,990,
V0,20670,
V1,7720,
V2,140,
V3,196,
V4,15,
V5,28,
V6,4,
V7,46,
V8,52,
V9,603,
W1,1203,
W2,581,
W3,222,
W4,69,
W5,60,
W6,176,
W7,26,
W8,192,
W9,404,
Y1,234,
Y2,105,
Y3,14,
Y4,26,
Y5,2,
Y6,59,
Y7,30,
Y8,27,
Y9,40,
Z0,399,
Z1,30,
Z2,41,
Z3,149,
Z4,71,
Z5,7,
Z7,1920,
Z8,188,
Z9,2305,
