borough,block,lot,cd,ct2010,cb2010,schooldist,council,zipcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,address,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,spdist3,ltdheight,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,bbl,condono,tract2010,xcoord,ycoord,latitude,longitude,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,version,sanitdistrict,healthcenterdistrict,firm07_flag,pfirm15_flag,rpaddate,dcasdate,zoningdate,landmkdate,basempdate,masdate,polidate,edesigdate,geom,dcpedited,notes
BK,5218,1018,,,,,,,,,,,,631 E 18 ST,,,,,,,,,,,,R4,03,0,X,,,521,0,521,0,0,0,0,0,0,2,,,26,26,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3052181018,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,343,1004,306,63,1002,15,39,11231,E202,76,4000,3,2C,145 PRESIDENT STREET,,,,,,,,,,,,R2,02,0,X,,,48469,0,1858,0,0,0,0,0,0,2,,,17,17,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3003431004,,0063,983972,188227,40.6833163579666,-74.0010023428231,,,301 031,30202,,,,2,20v2,06,38,,,,,,,,,,,,,
BK,343,1010,306,63,1002,15,39,11231,E202,76,4000,3,2C,145 PRESIDENT STREET,,,,,,,,,,,,R2,02,0,X,,,48469,0,1796,0,0,0,0,0,0,2,,,17,17,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3003431010,,0063,983972,188227,40.6833163579666,-74.0010023428231,,,301 031,30202,,,,2,20v2,06,38,,,,,,,,,,,,,
BK,343,1016,306,63,1002,15,39,11231,E202,76,4000,3,2C,145 PRESIDENT STREET,,,,,,,,,,,,R2,02,0,X,,,48469,0,1796,0,0,0,0,0,0,2,,,17,17,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3003431016,,0063,983972,188227,40.6833163579666,-74.0010023428231,,,301 031,30202,,,,2,20v2,06,38,,,,,,,,,,,,,
BK,343,1017,306,63,1002,15,39,11231,E202,76,4000,3,2C,145 PRESIDENT STREET,,,,,,,,,,,,R2,02,0,X,,,48469,0,2321,0,0,0,0,0,0,2,,,17,17,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3003431017,,0063,983972,188227,40.6833163579666,-74.0010023428231,,,301 031,30202,,,,2,20v2,06,38,,,,,,,,,,,,,
BK,343,1018,306,63,1002,15,39,11231,E202,76,4000,3,2C,145 PRESIDENT STREET,,,,,,,,,,,,R2,02,0,X,,,48469,0,1803,0,0,0,0,0,0,2,,,17,17,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3003431018,,0063,983972,188227,40.6833163579666,-74.0010023428231,,,301 031,30202,,,,2,20v2,06,38,,,,,,,,,,,,,
BK,343,1024,306,63,1002,15,39,11231,E202,76,4000,3,2C,145 PRESIDENT STREET,,,,,,,,,,,,RG,10,0,X,,,48469,153,0,0,0,0,0,0,153,2,,,0,17,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3003431024,,0063,983972,188227,40.6833163579666,-74.0010023428231,,,301 031,30202,,,,2,20v2,06,38,,,,,,,,,,,,,
MN,398,7503,103,30.02,1000,01,2,10009,E028,9,6600,1,3A,26 AVENUE B,,,,,,,,,,,,RM,04,0,,UNAVAILABLE OWNER,1934,7626,2649,4977,0,2497,0,152,0,0,2,0001,6,5,10,0.00,0.00,0.00,0.00,,3,N,5,2,177751,2270023,0,2015,0,0,,,3.94,0,0,0,1,1003987503,2814,003002,988844,202476,40.7224253296412,-73.9834263843986,,,102 012,10203,,1003980034,11/10/2017,2,20v2,03,14,,,,,,,,,,,,,
BX,2735,7501,,,,,,,,,,,,926 SOUTHERN BOULEVARD,,,,,,,,,,,,R0,,0,X,926 SOUTHERN BLVD LLC,11200,57120.0000,,,,,,,,,5,1,6,56,60,112.42,100.00,112.00,85.00,N,0,N,0,5,0,0,0,1911,2017,0,,,5.10,0,0,0,2,2027357501,266,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,2521,1604,301,563,1008,14,33,11222,L106,94,100,3,1B,174 WEST STREET,,,,,,,,,,,,R1,02,0,X,,,1282,0,1282,0,0,0,0,0,0,2,,,5,5,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3025211604,,0563,995462,206332,40.7330031962617,-73.9595444314127,,,304 037,30901,,,,2,20v2,01,30,,,,,,,,,,,,,
BX,2924,1005,206,395,4001,09,15,10457,L027,48,1700,2,2A,1880 BATHGATE AVENUE,,,,,,,,,,,,RR,04,0,X,,,93586,0,93586,0,0,0,0,0,0,2,,,137,137,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,2,2029241005,,0395,1012766,247567,40.8461432392905,-73.8969324524751,,,215 047,21104,,,,2,20v2,06,25,,,,,,,,,,,,,
BK,343,1005,306,63,1002,15,39,11231,E202,76,4000,3,2C,145 PRESIDENT STREET,,,,,,,,,,,,R2,02,0,X,,,48469,0,1936,0,0,0,0,0,0,2,,,17,17,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3003431005,,0063,983972,188227,40.6833163579666,-74.0010023428231,,,301 031,30202,,,,2,20v2,06,38,,,,,,,,,,,,,
BK,343,1032,306,63,1002,15,39,11231,E202,76,4000,3,2C,145 PRESIDENT STREET,,,,,,,,,,,,RG,10,0,X,,,48469,153,0,0,0,0,0,0,153,2,,,0,17,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3003431032,,0063,983972,188227,40.6833163579666,-74.0010023428231,,,301 031,30202,,,,2,20v2,06,38,,,,,,,,,,,,,
BK,343,1034,306,63,1002,15,39,11231,E202,76,4000,3,2C,145 PRESIDENT STREET,,,,,,,,,,,,RG,10,0,X,,,48469,153,0,0,0,0,0,0,153,2,,,0,17,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3003431034,,0063,983972,188227,40.6833163579666,-74.0010023428231,,,301 031,30202,,,,2,20v2,06,38,,,,,,,,,,,,,
BK,2420,1202,301,523,2000,14,34,11211,L104,90,600,3,2B,207 SOUTH 3RD STREET,,,,,,,,,,,,RR,04,0,X,,,18066,0,18066,0,0,0,0,0,0,2,,,10,10,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3024201202,,0523,995571,198508,40.711528071098,-73.9591642940277,,,303 010,30806,,,,2,20v2,01,30,,,,,,,,,,,,,
BK,2521,1603,301,563,1008,14,33,11222,L106,94,100,3,1B,174 WEST STREET,,,,,,,,,,,,R1,02,0,X,,,1282,0,1282,0,0,0,0,0,0,2,,,5,5,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3025211603,,0563,995462,206332,40.7330031962617,-73.9595444314127,,,304 037,30901,,,,2,20v2,01,30,,,,,,,,,,,,,
BK,5170,1001,317,792,2000,17,40,11226,E255,67,5400,3,4B,1084 ROGERS AVENUE,,,,,,,,,,,,R5,05,0,X,,,34462,4440,0,0,4440,0,0,0,0,2,,,0,2,,,,,,3,N,5,5,0,0,0,0,0,0,,,,0,0,0,3,3051701001,,0792,997566,173737,40.6435345102154,-73.9520171224539,,,310 033,31603,,,,2,20v2,17,35,,,,,,,,,,,,,
BK,379,1101,,,,,,,,,,,,154 NELSON STREET,,,,,,,,,,,,R1,02,0,X,,,2656,0,1937,0,0,0,0,0,0,2,,,4,4,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3003791101,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,1068,1201,,,,,,,,,,,,835 CARROLL STREET,,,,,,,,,,,,R1,02,0,X,,,6196,,,,,,,,,2,,,5,5,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3010681201,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,1949,7504,,,,,,,,,,,,373 CLASSON AVENUE,,,,,,,,,,,,R0,,0,X,373 CLASSON GROUP LLC,2501,8002.0000,,,,,,,,,5,1,4,4,4,25.00,80.00,25.00,80.02,,0,Y,0,5,0,0,0,2016,2016,0,,,3.20,0,0,0,3,3019497504,4694,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,1962,7503,,,,,,,,,,,,476 WASHINGTON AVE,,,,,,,,,,,,R0,,0,X,476 WASHINGTON AVENUE CORP,2500,5107.0344,,,,,,,,,5,1,4,4,4,25.00,100.00,24.83,51.42,N,0,N,0,5,0,0,0,2018,2017,0,,,2.04,0,0,0,3,3019627503,4611,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,2309,7502,,,,,,,,,,,,56 NORTH 9TH STREET,,,,,,,,,,,,R0,,0,X,RONIT REALTY LLC,17000,60000.0000,,,,,,,,,5,1,6,45,48,95.00,175.00,125.00,80.00,,0,N,0,5,0,0,0,2017,2015,0,,,3.53,0,0,0,3,3023097502,4776,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,2320,7502,,,,,,,,,,,,177 NORTH 7TH STREET,,,,,,,,,,,,R0,,0,X,177 N. 7TH LLC,7500,20000.0000,,,,,,,,,5,1,2,4,5,50.00,200.00,50.00,200.00,N,0,Y,0,5,0,0,0,1950,2005,2019,,,2.67,0,0,0,3,3023207502,4684,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,2540,1201,,,,,,,,,,,,108 INDIA STREET,,,,,,,,,,,,R6,02,0,X,,,4757,0,2303,0,0,0,0,0,0,2,,,3,3,,,,,,3,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3025401201,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,2620,7501,,,,,,,,,,,,623 LEONARD STREET,,,,,,,,,,,,R0,,0,X,623 LEONARD LLC,1750,3438.0000,,,,,,,,,5,1,4,2,2,35.00,50.00,30.00,28.65,N,0,N,0,5,0,0,0,1899,2016,0,,,1.96,0,0,0,3,3026207501,4580,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,2857,7508,,,,,,,,,,,,238 RICHARDSON STREET,,,,,,,,,,,,R0,,0,X,"RICHARDSON APART, LLC.",2500,,,,,,,,,,0,1,4,7,7,25.00,100.00,0.00,0.00,,0,N,0,5,0,0,0,2016,0,0,,,,0,0,0,3,3028577508,4595,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,3383,1001,,,,,,,,,,,,1257 JEFFERSON AVENUE,,,,,,,,,,,,R1,02,0,X,,,11028,0,1323,0,0,0,0,0,0,2,,,8,8,,,,,,1,N,0,2,0,0,0,0,0,0,,,,0,0,0,3,3033831001,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,3403,1001,,,,,,,,,,,,1129 HALSEY STREET,,,,,,,,,,,,R1,02,0,X,,,1524,0,1524,0,0,0,0,0,0,7,,,6,6,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3034031001,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,9760,9018,,,,,,,,,,,,89-37 161 STREET,,,,,,,,,,,,D6,04,0,,NYC HOUSING DEVELOPMENT CORP,11689,42691,1000,41691,0,0,0,0,0,1000,2,1,8,49,50,92.66,128.61,92.74,128.61,N,3,Y,5,0,450000,2021400,1963171,2003,0,0,,,3.65,0,0,0,4,4097609018,,,,,,,,,406 023,44204,,4097600073,12/22/2004,2,20v2,,,,,,,,,,,,,,,
QN,4972,1301,407,871,2007,25,20,11354,L130,109,1200,4,1E,133-27 39TH AVENUE,,,,,,,,,,,,RG,10,0,X,,,442774,122717,0,0,0,122717,0,0,0,2,,,0,385,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4049721301,,0871,1030349,216061,40.7595937860498,-73.8335973219025,,,411 001,42501,,,,2,20v2,07,43,,,,,,,,,,,,,
QN,76,7503,,,,,,,,,,,,21-26 45TH ROAD,,,,,,,,,,,,R0,,0,X,SALM PROPERTIES LLC,2500,5900.0000,,,,,,,,,5,1,4,6,6,25.00,100.00,25.00,59.00,,0,N,0,5,0,0,0,2018,0,0,,,2.36,0,0,0,4,4000767503,1133,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BX,2370,1001,203,185,1006,09,16,10456,E050,42,3500,2,1B,3365 3RD AVENUE,,,,,,,,,,,,RR,04,0,X,,,26522,0,26522,0,0,0,0,0,0,2,,,22,22,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,2,2023701001,,0185,1009753,240735,40.8274006048139,-73.9078485362443,,,210S049,20904,,,,2,20v2,03,22,,,,,,,,,,,,,
SI,3173,7504,502,50,1004,31,50,10304,E160,122,700,5,1D, STONEGATE DRIVE,,,,,,,,,,,,R3,02,0,,UNAVAILABLE OWNER,292960,146199,0,146199,0,0,0,0,0,0,2,0001,3,76,76,0.00,0.00,0.00,0.00,,0,N,5,5,396541,1826808,96313,1980,0,0,,,0.50,0,0,0,5,5031737504,69,0050,960026,158501,40.6016917774726,-74.0872340733945,,,53  304,51401,,5031731238,08/25/1988,2,20v2,02,51,,,,,,,,,,,,,
BK,1807,1304,,,,,,,,,,,,399 GATES AVE,,,,,,,,,,,,RP,10,0,X,,,14537,,,,,,,,,2,,,16,24,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3018071304,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,1807,1307,,,,,,,,,,,,399 GATES AVE,,,,,,,,,,,,RP,10,0,X,,,14537,,,,,,,,,2,,,16,24,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3018071307,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,1807,1308,,,,,,,,,,,,399 GATES AVE,,,,,,,,,,,,RP,10,0,X,,,14537,,,,,,,,,2,,,16,24,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3018071308,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,2110,1002,,,,,,,,,,,,300 ASHLAND PLACE,,,,,,,,,,,,RR,04,0,X,,,433800,0,45715,0,0,0,0,0,0,2,,,76,76,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3021101002,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,2320,1102,,,,,,,,,,,,177 NORTH 7TH STREET,,,,,,,,,,,,RR,04,0,X,,,10860,,,,,,,,,2,,,4,5,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3023201102,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,3207,1005,,,,,,,,,,,,982 WILLOUGHBY AVE,,,,,,,,,,,,R1,02,0,X,,,7529,,,,,,,,,2,,,8,8,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3032071005,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,3383,1005,,,,,,,,,,,,1257 JEFFERSON AVENUE,,,,,,,,,,,,R1,02,0,X,,,11028,0,994,0,0,0,0,0,0,2,,,8,8,,,,,,1,N,0,2,0,0,0,0,0,0,,,,0,0,0,3,3033831005,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,3403,1003,,,,,,,,,,,,1129 HALSEY STREET,,,,,,,,,,,,R1,02,0,X,,,500,0,500,0,0,0,0,0,0,7,,,6,6,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3034031003,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,3862,1001,,,,,,,,,,,,96 NEW LOTS AVE,,,,,,,,,,,,RR,04,0,X,,,305524,0,89115,0,0,0,0,0,0,2,,,197,197,,,,,,1,N,1,5,0,0,0,0,0,0,,,,0,0,0,3,3038621001,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,5218,1009,,,,,,,,,,,,631 E 18 ST,,,,,,,,,,,,R4,03,0,X,,,504,0,504,0,0,0,0,0,0,2,,,26,26,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3052181009,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,5218,1007,,,,,,,,,,,,631 E 18 ST,,,,,,,,,,,,R4,03,0,X,,,504,0,504,0,0,0,0,0,0,2,,,26,26,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3052181007,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BX,2294,1105,,,,,,,,,,,,556 BERGEN AVENUE,,,,,,,,,,,,RK,05,0,X,,,2613,2613,0,0,2613,0,0,0,0,2,,,0,2,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,2,2022941105,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,1552,1032,,,,,,,,,,,,1325 HERKIMER STREET,,,,,,,,,,,,R4,03,0,X,,,21943,0,522,0,0,0,0,0,0,2,,,32,32,,,,,,2,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3015521032,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,3403,1006,,,,,,,,,,,,1129 HALSEY STREET,,,,,,,,,,,,R1,02,0,X,,,500,0,500,0,0,0,0,0,0,7,,,6,6,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3034031006,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,5218,1011,,,,,,,,,,,,631 E 18 ST,,,,,,,,,,,,R4,03,0,X,,,795,0,795,0,0,0,0,0,0,2,,,26,26,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3052181011,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,5218,1013,,,,,,,,,,,,631 E 18 ST,,,,,,,,,,,,R4,03,0,X,,,400,0,400,0,0,0,0,0,0,2,,,26,26,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3052181013,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,5218,1015,,,,,,,,,,,,631 E 18 ST,,,,,,,,,,,,R4,03,0,X,,,504,0,504,0,0,0,0,0,0,2,,,26,26,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3052181015,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,5218,1025,,,,,,,,,,,,631 E 18 ST,,,,,,,,,,,,R4,03,0,X,,,400,0,400,0,0,0,0,0,0,2,,,26,26,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3052181025,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,10213,1008,,,,,,,,,,,,172-18 JAMAICA AVENUE,,,,,,,,,,,,RP,10,0,X,,,20252,,,,,,,,,2,,,0,11,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4102131008,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,3518,1002,,,,,,,,,,,,60-15 MYRTLE AVENUE,,,,,,,,,,,,RR,04,0,X,,,21248,,,,,,,,,2,,,12,13,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4035181002,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,10213,1006,,,,,,,,,,,,172-18 JAMAICA AVENUE,,,,,,,,,,,,RP,10,0,X,,,20252,,,,,,,,,2,,,0,11,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4102131006,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,10213,1007,,,,,,,,,,,,172-18 JAMAICA AVENUE,,,,,,,,,,,,RP,10,0,X,,,20252,,,,,,,,,2,,,0,11,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4102131007,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,10213,1005,,,,,,,,,,,,172-18 JAMAICA AVENUE,,,,,,,,,,,,RP,10,0,X,,,20252,,,,,,,,,2,,,0,11,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4102131005,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,10213,1013,,,,,,,,,,,,172-18 JAMAICA AVENUE,,,,,,,,,,,,R2,02,0,X,,,20252,,,,,,,,,2,,,20,20,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4102131013,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,10213,1015,,,,,,,,,,,,172-18 JAMAICA AVENUE,,,,,,,,,,,,R2,02,0,X,,,20252,,,,,,,,,2,,,20,20,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4102131015,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,10213,1010,,,,,,,,,,,,172-18 JAMAICA AVENUE,,,,,,,,,,,,RP,10,0,X,,,20252,,,,,,,,,2,,,0,11,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4102131010,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,10213,1017,,,,,,,,,,,,172-18 JAMAICA AVENUE,,,,,,,,,,,,R2,02,0,X,,,20252,,,,,,,,,2,,,20,20,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4102131017,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,10213,1019,,,,,,,,,,,,172-18 JAMAICA AVENUE,,,,,,,,,,,,R2,02,0,X,,,20252,,,,,,,,,2,,,20,20,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4102131019,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,10213,1020,,,,,,,,,,,,172-18 JAMAICA AVENUE,,,,,,,,,,,,R2,02,0,X,,,20252,,,,,,,,,2,,,20,20,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4102131020,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,10213,1028,,,,,,,,,,,,172-18 JAMAICA AVENUE,,,,,,,,,,,,R2,02,0,X,,,20252,,,,,,,,,2,,,20,20,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4102131028,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
