borough,block,lot,cd,ct2010,cb2010,schooldist,council,zipcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,address,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,spdist3,ltdheight,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,bbl,condono,tract2010,xcoord,ycoord,latitude,longitude,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,version,sanitdistrict,healthcenterdistrict,firm07_flag,pfirm15_flag,rpaddate,dcasdate,zoningdate,landmkdate,basempdate,masdate,polidate,edesigdate,geom,dcpedited,notes
BK,2540,1202,,,,,,,,,,,,108 INDIA STREET,,,,,,,,,,,,R6,02,0,X,,,4757,0,1719,0,0,0,0,0,0,2,,,3,3,,,,,,3,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3025401202,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
SI,7048,7502,503,208.01,1020,31,51,10309,E168,123,800,5,6C,5 WIRT AVENUE,,,,,,,,,,,,R3,02,0,,WOODBROOK ESTATES CONDOMINIUM,179404,25750,0,25750,0,0,0,0,0,0,2,0001,0,19,19,0.00,0.00,0.00,0.00,,0,N,5,2,65059,404391,38692,0,0,0,,,0.14,0,0,0,5,5070487502,56,020801,924440,139370,40.5490123781124,-74.215214702443,,,505 569,52901,,,,2,20v2,03,51,,,,,,,,,,,,t,
SI,7055,7504,503,208.01,2001,31,51,10309,E168,123,800,5,6C,29 MEADOW COURT,,,,,,,,,,,,R3,02,0,,WOODBROOK ESTATES CONDOMINIUM,548016,46096,0,46096,0,0,0,0,0,0,2,0001,0,36,36,0.00,0.00,0.00,0.00,,0,N,5,5,105054,741198,83386,0,0,0,,,0.08,0,0,0,5,5070557504,56,020801,925311,139764,40.5500996609628,-74.2120840224596,,,505 569,52901,,,,2,20v2,03,51,,,,,,,,,,,,t,
QN,15853,1101,,,,,,,,,,,,45-19 ROCKAWAY BEACH BOULEVARD,,,,,,,,,,,,RR,04,0,X,,,95683,0,60991,0,0,0,0,0,0,2,,,89,89,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4158531101,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,1552,1001,,,,,,,,,,,,1325 HERKIMER STREET,,,,,,,,,,,,R4,03,0,X,,,21943,0,788,0,0,0,0,0,0,2,,,32,32,,,,,,2,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3015521001,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,6138,9001,310,162,2003,20,43,11209,E242,68,7810,3,3D,10031A 4 AVENUE,,,,,,,,,,,,D4,03,0,,BRIDGE HAMILTON REALT,4354,21725,0,21725,0,0,0,0,0,0,2,0001,5,30,30,79.17,55.00,79.00,55.00,N,0,N,5,0,66150,1216350,0,1985,0,0,,,4.99,0,0,0,3,3061389001,,0162,,,,,,,300 000,31809,,3061380001,12/03/1987,2,20v2,10,31,,,,,,,,,,,,,
MN,729,9001,,,,,,,,,,,,450 WEST 33 STREET,,,,,,,,,,,,O6,05,0,,450 PARTNERS LLC,134932,1445092,1445092,0,1399742,45350,0,0,0,0,2,1,14,0,40,302.00,455.00,294.00,442.00,,1,Y,3,2,4860000,226371600,0,1969,1990,0,,,10.71,0,0,0,1,1007299001,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
QN,10213,1023,,,,,,,,,,,,172-18 JAMAICA AVENUE,,,,,,,,,,,,R2,02,0,X,,,20252,,,,,,,,,2,,,20,20,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4102131023,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
MN,2165,1002,112,271,2002,06,10,10033,L045,34,210,1,2A,601 WEST 181ST STREET,,,,,,,,,,,,RR,04,0,X,,,17409,0,17409,0,0,0,0,0,0,2,,,12,12,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,1,1021651002,,0271,1002563,248827,40.849628622009,-73.9338064720438,,,112 023,10803,,,,2,20v2,12,17,,,,,,,,,,,,,
SI,1525,7501,501,251,3012,31,50,10314,E166,121,100,5,4D,460/1 CASWELL AVENUE,,,,,,,,,,,,R3,02,0,,HORIZON VILLAGE CONDOMINIUM # 1,125091,87272,0,87272,0,0,0,0,0,0,2,0001,2,64,64,0.00,0.00,20.00,24.42,,0,N,6,5,132030,1206428,105331,0,0,0,,,0.70,0,0,0,5,5015257501,6,0251,,,,,,,52  265,50701,,5015251001,08/25/1988,2,20v2,01,51,,,,,,,,,,,,,
