zonedist,residfar,commfar,facilfar
M2-3,0.00000000000,2.00000000000,0.00000000000
M2-4,0.00000000000,5.00000000000,0.00000000000
M3-1,0.00000000000,2.00000000000,0.00000000000
M3-2,0.00000000000,2.00000000000,0.00000000000
PARK,0.00000000000,0.00000000000,0.00000000000
PARKNYS,0.00000000000,0.00000000000,0.00000000000
PARKUS,0.00000000000,0.00000000000,0.00000000000
R10,10.0000000000,0.00000000000,10.0000000000
R10A,10.0000000000,0.00000000000,10.0000000000
R10H,10.0000000000,0.00000000000,10.0000000000
R1-1,0.500000000000,0.00000000000,1.00000000000
R1-2,0.500000000000,0.00000000000,1.00000000000
R1-2A,0.500000000000,0.00000000000,1.00000000000
R2,0.500000000000,0.00000000000,1.00000000000
R2A,0.500000000000,0.00000000000,1.00000000000
R2X,1.02000000000,0.00000000000,1.00000000000
R3-1,0.600000000000,0.00000000000,1.00000000000
R3-2,0.600000000000,0.00000000000,1.00000000000
R3A,0.600000000000,0.00000000000,1.00000000000
R3X,0.600000000000,0.00000000000,1.00000000000
R4,0.900000000000,0.00000000000,2.00000000000
R4-1,0.900000000000,0.00000000000,2.00000000000
R4A,0.900000000000,0.00000000000,2.00000000000
R4B,0.900000000000,0.00000000000,2.00000000000
R5,1.25000000000,0.00000000000,2.00000000000
R5A,1.10000000000,0.00000000000,2.00000000000
R5B,1.35000000000,0.00000000000,2.00000000000
R5D,2.00000000000,0.00000000000,2.00000000000
R6,2.43000000000,0.00000000000,4.80000000000
R6A,3.00000000000,0.00000000000,3.00000000000
R6B,2.00000000000,0.00000000000,2.00000000000
R7-1,3.44000000000,0.00000000000,4.80000000000
R7-2,3.44000000000,0.00000000000,6.50000000000
R7-3,5.00000000000,0.00000000000,5.00000000000
R7A,4.00000000000,0.00000000000,4.00000000000
R7B,3.00000000000,0.00000000000,3.00000000000
R7D,4.20000000000,0.00000000000,4.20000000000
R7X,5.00000000000,0.00000000000,5.00000000000
R8,6.02000000000,0.00000000000,6.50000000000
R8A,6.00000000000,0.00000000000,6.00000000000
R8B,4.00000000000,0.00000000000,4.00000000000
R8X,6.02000000000,0.00000000000,6.50000000000
R9,7.52000000000,0.00000000000,10.0000000000
R9A,7.52000000000,0.00000000000,7.52000000000
R9X,9.00000000000,0.00000000000,9.00000000000
ZNA,0.00000000000,0.00000000000,0.00000000000
ZR 11-151,0.00000000000,0.00000000000,0.00000000000
