zonedist1,zonedist1,zonedist2,zonedist2,zonedist3,zonedist3,residfar,residfar,commfar,commfar,facilfar,facilfar,count
C3,C3,M1-1,M1-1,,,0,0.600000000000,0.5,0.500000000000,0,1.00000000000,1
C3,C3,,,,,0,0.600000000000,0.5,0.500000000000,0,1.00000000000,18
C4-1,C4-1,,,,,0,1.25000000000,1,1.00000000000,0,2.00000000000,3
C4-2,C4-2,C8-1,C8-1,,,0,2.43000000000,3.4,3.40000000000,0,4.80000000000,1
C4-2,C4-2,R6A,R6A,,,3,2.43000000000,3.4,3.40000000000,3,4.80000000000,1
C4-2,C4-2,,,,,0,2.43000000000,3.4,3.40000000000,0,4.80000000000,100
C4-2,M1-1,,,,,0,0.00000000000,3.4,1.00000000000,0,2.40000000000,1
C4-2A,M1-1,C4-2,,,,0,0.00000000000,3,1.00000000000,0,2.40000000000,1
C4-2A,M1-1,,,,,0,0.00000000000,3,1.00000000000,0,2.40000000000,10
C4-4,C4-4,C8-2,C8-2,R7D,R7D,4.2,3.44000000000,3.4,3.40000000000,4.2,6.50000000000,1
C4-4,C4-4,M1-1,M1-1,,,0,3.44000000000,3.4,3.40000000000,0,6.50000000000,1
C4-4,C4-4,M1-4/R6A,M1-4/R6A,,,3,3.44000000000,3.4,3.40000000000,3,6.50000000000,1
C4-4,C4-4,M2-1,M2-1,,,0,3.44000000000,3.4,3.40000000000,0,6.50000000000,1
C4-4,C4-4,R4A,R4A,,,0.75,3.44000000000,3.4,3.40000000000,2,6.50000000000,1
C4-4,C4-4,R6,R6,,,2.43,3.44000000000,3.4,3.40000000000,4.8,6.50000000000,7
C4-4,C4-4,R7-1,R7-1,,,3.44,3.44000000000,3.4,3.40000000000,4.8,6.50000000000,3
C4-4,C4-4,R7B,R7B,,,3,3.44000000000,3.4,3.40000000000,3,6.50000000000,1
C4-4,C4-4,R7D,R7D,,,4.2,3.44000000000,3.4,3.40000000000,4.2,6.50000000000,1
C4-4,C4-4,R8,R8,,,6.02,3.44000000000,3.4,3.40000000000,6.5,6.50000000000,13
C4-4,C4-4,,,,,0,3.44000000000,3.4,3.40000000000,0,6.50000000000,556
C4-4A,C4-4A,R6A,R6A,M1-4/R7A,M1-4/R7A,3,4.00000000000,4,4.00000000000,3,4.00000000000,1
C4-4A,C4-4A,R6A,R6A,,,3,4.00000000000,4,4.00000000000,3,4.00000000000,1
C4-4A,C4-4A,R7-1,R7-1,,,3.44,4.00000000000,4,4.00000000000,4.8,4.00000000000,9
C4-4A,C4-4A,,,,,0,4.00000000000,4,4.00000000000,0,4.00000000000,61
C4-4D,C4-4D,R6A,R6A,,,3,6.02000000000,3.4,3.40000000000,3,6.50000000000,3
C4-4D,C4-4D,,,,,0,6.02000000000,3.4,3.40000000000,0,6.50000000000,20
C4-5D,C4-5D,R6,R6,,,2.43,4.20000000000,4.2,4.20000000000,4.8,4.20000000000,11
C4-5D,C4-5D,R6B,R6B,,,2,4.20000000000,4.2,4.20000000000,2,4.20000000000,5
C4-5D,C4-5D,R7-1,R7-1,,,3.44,4.20000000000,4.2,4.20000000000,4.8,4.20000000000,1
C4-5D,C4-5D,,,,,0,4.20000000000,4.2,4.20000000000,0,4.20000000000,41
C4-5X,C4-5X,M1-1,M1-1,,,0,5.00000000000,4,4.00000000000,0,5.00000000000,6
