field,count,percentmismatch
areasource,842679,98.33
residfar,378910,44.21
exempttot,357680,41.74
exemptland,321516,37.52
splitzone,165427,19.30
bldgarea,139030,16.22
builtfar,138609,16.17
proxcode,104684,12.21
yearalter1,89632,10.46
yearalter2,89467,10.44
bsmtcode,41957,4.90
ownername,30510,3.56
bldgclass,15269,1.78
landuse,14264,1.66
facilfar,7781,0.91
histdist,7256,0.85
numbldgs,6671,0.78
easements,6249,0.73
zonedist1,5896,0.69
assesstot,5711,0.67
assessland,5023,0.59
spdist1,5003,0.58
unitstotal,3980,0.46
lottype,3876,0.45
lotarea,3299,0.38
bldgdepth,3269,0.38
yearbuilt,2816,0.33
zonedist2,2298,0.27
resarea,2155,0.25
commfar,2025,0.24
lotdepth,1950,0.23
lotfront,1930,0.23
landmark,1579,0.18
irrlotcode,916,0.11
comarea,881,0.10
ext,716,0.08
overlay1,661,0.08
retailarea,477,0.06
numfloors,448,0.05
officearea,370,0.04
otherarea,299,0.03
garagearea,222,0.03
factryarea,149,0.02
strgearea,128,0.01
zonedist3,41,0.00
spdist2,29,0.00
overlay2,23,0.00
zonedist4,2,0.00
bldgfront,0,0.00
borocode,0,0.00
ltdheight,0,0.00
spdist3,0,0.00
condono,0,0.00
ownertype,0,0.00
