bbl,newbldgarea,oldbldgarea,difference
2039297501,107643,009203399,9095756
2039377501,2207763,009203399,6995636
2039387501,2402218,009203399,6801181
2039437501,2409161,009203399,6794238
2039627501,94794,003911254,3816460
1015367501,638814,001858121,1219307
1015377501,650624,001858121,1207497
1007027501,3001515,004111184,1109669
2039447501,2812639,003911254,1098615
1009627501,1153372,002076426,923054
3044147501,52920,000924761,871841
1012657501,2117061,002963699,846638
1000057501,559271,001354691,795420
1010477501,523693,001237706,714013
1010497501,2103820,002797249,693429
1000047501,1888126,002542563,654437
4019137501,88783,000699956,611173
4019107501,90325,000699956,609631
4009467501,11666,000620346,608680
4009497501,25400,000620346,594946
4009727501,34998,000620346,585348
4009747501,51182,000620346,569164
4009487501,51302,000620346,569044
4010077501,55829,000620346,564517
4049787502,36731,600002,563271
4009737501,67489,000620346,552857
4010097501,72631,000620346,547715
4010087501,77569,000620346,542777
4019117501,178069,000699956,521887
4009477501,109287,000620346,511059
3044157501,421206,000924761,503555
3044237501,423957,000924761,500804
1013027501,1270270,001760893,490623
1000627501,1690747,002139035,448288
1018467501,185295,000632707,447412
3045157501,224515,000658262,433747
3021807501,52656,000476310,423654
3021757501,52656,000476310,423654
3021387501,52716,000476310,423594
3021717501,61432,000476310,414878
3045167501,248830,000658262,409432
1010027501,1793091,002200404,407313
3023487501,17332,000424587,407255
4050667501,1591806,001997508,405702
1000847501,561157,000959910,398753
1010907502,839703,001234867,395164
3021667501,83647,000476310,392663
1010277501,665696,001050872,385176
1018457501,251334,000632707,381373
3023247502,268010,000632007,363997
1002487501,1094309,001451246,356937
1011057501,632629,000978663,346034
3021687501,140955,000476310,335355
4019127501,368854,000699956,331102
1012617501,1204839,001529036,324197
1012967502,1241644,001562144,320500
1010197502,1028336,001346418,318082
1009367501,869426,001171064,301638
1013137501,1103169,001402032,298863
4076217502,176672,000475216,298544
1010517502,1008670,001285029,276359
1009207501,200417,000476739,276322
3001497501,1148280,001420963,272683
2030277501,101741,000371258,269517
3023327502,365596,000632007,266411
5012787501,145560,000411952,266392
1013147502,760700,001013617,252917
1008387501,316572,000568820,252248
1000747501,744146,000995083,250937
1008127501,27945,000272725,244780
1011717510,630198,000866992,236794
1014647502,243321,000476089,232768
1008897501,977745,001205501,227756
1011167501,968442,001182195,213753
3080587501,30576,000240491,209915
1012927502,583015,000791233,208218
3014677501,28792,234287,205495
1012627502,488441,000691519,203078
1010137501,789726,000991439,201713
1000157501,1202417,001402831,200414
1006077503,533883,000728292,194409
1014207501,848848,001032457,183609
1010697501,562325,000743083,180758
3075767501,488934,000665111,176177
1010737501,538277,000712141,173864
1001377502,103856,000274175,170319
3019577501,29701,000199617,169916
3019597501,31025,000199617,168592
1010477502,703796,000870000,166204
3001567502,789331,000954162,164831
4010107501,94222,000256485,162263
1000167508,429205,000590974,161769
4010117501,95261,000256485,161224
1013607501,303391,000464072,160681
1012097502,32250,000191009,158759
3019587501,40905,000199617,158712
1001427501,770447,000928915,158468
4159327501,16599,000174699,158100
1010117501,498293,000654775,156482
4159317501,19813,000174699,154886
4159047501,20386,000174699,154313
1001327501,119928,000274175,154247
1000257501,377483,000530168,152685
1013407501,713461,000865222,151761
1001237501,857524,001008544,151020
4056877501,11214,000160200,148986
4000067502,522805,000671698,148893
4056887501,12816,000160200,147384
4056707501,12816,000160200,147384
1010087503,700403,000847000,146597
1009947501,1041794,001188090,146296
1010327501,508695,000650500,141805
1011147503,695701,000837002,141301
1013457502,9503,150768,141265
1000317501,542247,000683289,141042
1008277501,4620,144899,140279
1001007502,900766,001040589,139823
4055987501,20826,000160200,139374
1008067502,434250,000571378,137128
1009187501,396248,000531892,135644
1000267501,810798,000944252,133454
1011657503,435775,000568662,132887
1008417501,99398,000231828,132430
1012927501,626593,000756693,130100
1010477503,813798,000941351,127553
1010407501,626821,000752861,126040
1010387501,3280,000128578,125298
1005127502,99287,000224409,125122
5004877501,338858,000463785,124927
3074597501,241518,000365289,123771
1011717509,541114,000663895,122781
1000447501,461169,000583639,122470
1003527501,320601,000441570,120969
4039167501,38777,000159720,120943
1015997502,364007,000484897,120890
1011407501,617105,000737506,120401
4055997501,41652,000160200,118548
1000717501,462377,000580000,117623
3054687502,41463,000158994,117531
4056697501,43254,000160200,116946
1014237501,366603,000483495,116892
1009697501,413297,000530000,116703
4050457501,267309,000383600,116291
1010897502,954682,001069903,115221
1008627503,317446,000432311,114865
1007017502,301475,000414521,113046
1013047501,1554144,001666763,112619
1013417503,357793,000469819,112026
4004187501,15240,126485,111245
1004917503,284451,000395075,110624
1012877501,804216,000914767,110551
3083507501,60240,000170304,110064
3083437501,60590,000170304,109714
1012477501,70781,000179844,109063
1008577503,367944,000475685,107741
3082737501,190426,000298092,107666
1011717507,523496,000630525,107029
4050667503,245806,000352672,106866
1008077501,473783,000579715,105932
1011717505,321950,000427256,105306
1001237502,610351,000715320,104969
1010097501,532465,000636916,104451
1013207501,256015,000360110,104095
4021117501,577426,000680488,103062
1015397502,349653,000451617,101964
1008007504,249981,000351608,101627
4159337501,73138,000174699,101561
3015037501,64479,000165529,101050
1000167517,407751,000508458,100707
1014387501,403993,000504238,100245
1015157502,339465,000439280,99815
1017467501,355544,000455211,99667
1011157503,588256,000687320,99064
4009057501,308286,000407200,98914
1012697501,404693,000503000,98307
1011137502,521228,000618334,97106
1010737502,246132,000342928,96796
1008887501,55880,000151686,95806
5016447501,37228,000132796,95568
3080607501,145080,000240491,95411
4082927502,78012,000172967,94955
1000327501,3583167,003678000,94833
3003107502,47266,000141335,94069
1010157501,589617,000682843,93226
4067137501,361600,000454660,93060
1006367503,264976,000357933,92957
1016077503,354089,000447011,92922
1011717504,297199,000389568,92369
5054377501,7029,000099375,92346
1009687501,457946,000550141,92195
2055597501,291401,000383062,91661
3020337502,1602,93191,91589
3001527501,405981,000497018,91037
1013147501,295086,000385721,90635
1008517505,146499,000236790,90291
1000167514,344863,000434680,89817
5070547502,57224,000146937,89713
1012727503,257501,000346858,89357
1010297501,529883,000618403,88520
1002177503,225630,000313991,88361
1000707501,255763,000343902,88139
1015437501,291734,000379873,88139
5070487502,25750,000113120,87370
1012917501,364639,000451845,87206
1010107506,637803,000724798,86995
1012317501,327793,000414593,86800
1013397502,217163,000303754,86591
1000277501,188278,000274516,86238
1011707502,423311,000509111,85800
3087837501,6186,000091316,85130
1010907501,434119,000518416,84297
1000907501,336447,000420470,84023
1000537502,312633,000396477,83844
1010487503,257885,000341429,83544
