bbl,numbldgs,numfootprints,difference
2034560040,2,1,1
2034560048,2,1,1
2034560051,2,1,1
2034570019,2,1,1
2034570025,3,2,1
2034570065,2,1,1
2034610021,2,1,1
2034690005,2,1,1
2034710010,2,1,1
2034710033,2,1,1
2034730015,2,1,1
2034750037,2,1,1
2034760001,2,1,1
2034760025,2,1,1
2034760034,2,1,1
2034770011,2,1,1
2034780002,2,1,1
2034830014,2,1,1
2034940018,2,1,1
2034950018,2,1,1
2034960009,2,1,1
2034970044,2,1,1
2034970055,2,1,1
2034980051,2,1,1
2034990010,6,5,1
2034990033,2,1,1
2035000023,2,1,1
2035000054,2,1,1
2035000066,2,1,1
2035000068,2,1,1
2035100025,2,1,1
2035120018,2,1,1
2035200051,2,1,1
2035230008,3,2,1
2035270006,2,1,1
2035280017,3,2,1
2035310191,2,1,1
2035560001,2,1,1
2035590054,3,2,1
2035600073,2,1,1
2035650001,2,1,1
2035750026,2,1,1
2035930001,5,4,1
2035940031,3,2,1
2035940052,2,1,1
2035950024,2,1,1
2035960047,2,1,1
2035990017,2,1,1
2036000004,12,11,1
2036110043,2,1,1
2036120022,2,1,1
2036130048,2,1,1
2036330001,31,30,1
2036410001,2,1,1
2036480025,3,2,1
2036510044,2,1,1
2036510046,2,1,1
2036517501,24,23,1
2036530022,2,1,1
2036530050,6,5,1
2036610001,2,1,1
2036790038,2,1,1
2036800013,2,1,1
2036820001,3,2,1
2036850033,2,1,1
2036850057,2,1,1
2036860005,3,2,1
2036870043,2,1,1
2036880078,2,1,1
2036900031,2,1,1
2036900040,2,1,1
2036900044,2,1,1
2036900045,2,1,1
2036900048,2,1,1
2036910037,4,3,1
2036920070,2,1,1
2036930026,2,1,1
2036930050,2,1,1
2036930077,2,1,1
2036940020,2,1,1
2036980001,2,1,1
2036990031,2,1,1
2037020001,3,2,1
2037020101,2,1,1
2037100055,2,1,1
2037107501,2,1,1
2037150056,2,1,1
2037150060,2,1,1
2037170027,2,1,1
2037210001,2,1,1
2037220001,2,1,1
2037310001,3,2,1
2037320059,2,1,1
2037360064,2,1,1
2037360068,2,1,1
2037360073,2,1,1
2037380062,2,1,1
2037430027,2,1,1
2037520051,2,1,1
2037530040,2,1,1
2037560161,2,1,1
2037590009,2,1,1
2037610019,2,1,1
2037620006,2,1,1
2037620042,2,1,1
2037640001,2,1,1
2037650006,2,1,1
2037650054,2,1,1
2037660025,2,1,1
2037670069,2,1,1
2037680078,2,1,1
2037690025,2,1,1
2037690036,2,1,1
2037690038,2,1,1
2037690040,2,1,1
2037690046,2,1,1
2037700003,2,1,1
2037700083,2,1,1
2037710061,2,1,1
2037710070,2,1,1
2037710072,2,1,1
2037730023,2,1,1
2037730050,2,1,1
2037730051,2,1,1
2037730066,2,1,1
2037730069,2,1,1
2037740034,2,1,1
2037740038,2,1,1
2037740062,2,1,1
2037750025,4,3,1
2037760017,2,1,1
2037840030,2,1,1
2037850025,3,2,1
2037870001,2,1,1
2037900073,2,1,1
2037920076,2,1,1
2037980022,2,1,1
2037980053,2,1,1
2037990144,2,1,1
2038020054,3,2,1
2038070013,2,1,1
2038100082,2,1,1
2038110050,2,1,1
2038130074,2,1,1
2038140022,2,1,1
2038140037,3,2,1
2038140041,2,1,1
2038140046,7,6,1
2038140069,2,1,1
2038140073,2,1,1
2038150048,2,1,1
2038160004,2,1,1
2038160030,2,1,1
2038180048,2,1,1
2038200076,2,1,1
2038210053,2,1,1
2038230039,2,1,1
2038290005,2,1,1
2038290017,2,1,1
2038300003,2,1,1
2038300017,2,1,1
2038300085,2,1,1
2038320059,2,1,1
2038320074,2,1,1
2038320076,2,1,1
2038450017,2,1,1
2038450038,3,2,1
2038480111,2,1,1
2038610134,2,1,1
2038610141,2,1,1
2038610145,2,1,1
2038620014,2,1,1
2038620026,2,1,1
2038620032,2,1,1
2038620050,2,1,1
2038720034,2,1,1
2038720035,2,1,1
2038760019,2,1,1
2038770060,3,2,1
2038770063,2,1,1
2038780047,2,1,1
2038790028,2,1,1
2038840024,2,1,1
2038840031,2,1,1
2038850001,4,3,1
2038900067,2,1,1
2038950062,2,1,1
2038950065,2,1,1
2038950087,2,1,1
2038980083,2,1,1
2038990064,2,1,1
2039000002,2,1,1
2039000069,2,1,1
2039080018,2,1,1
2039090024,2,1,1
2039140005,2,1,1
2039160001,2,1,1
2039160022,2,1,1
2039180003,2,1,1
2039180004,2,1,1
2039180023,2,1,1
2039180028,3,2,1
2039180041,2,1,1
2039180134,2,1,1
2039230061,2,1,1
2039250018,2,1,1
2039260010,2,1,1
2039310032,2,1,1
2039320012,3,2,1
2039320145,2,1,1
2039320165,2,1,1
2039340170,2,1,1
2039340172,2,1,1
2039350017,2,1,1
2039360006,2,1,1
2039370022,2,1,1
2039370056,2,1,1
2039447501,54,53,1
2039480047,2,1,1
2039580161,2,1,1
2039640018,2,1,1
2039640025,2,1,1
2039650011,2,1,1
2039660010,2,1,1
2039660023,2,1,1
2039660026,2,1,1
2039680007,2,1,1
2039710047,2,1,1
2039710059,2,1,1
2039710065,2,1,1
2039710071,2,1,1
2039720006,2,1,1
2039720026,2,1,1
2039720043,2,1,1
2039720057,2,1,1
2039730020,2,1,1
2039750031,2,1,1
2039750034,2,1,1
2039760028,2,1,1
2039760042,2,1,1
2039770042,2,1,1
2039780013,2,1,1
2039780039,2,1,1
2039790070,2,1,1
2039790088,2,1,1
2039850023,2,1,1
2039870003,2,1,1
2039900022,2,1,1
2039910030,2,1,1
2039960013,2,1,1
2039960062,2,1,1
2039970023,2,1,1
2039990056,2,1,1
2040010058,6,5,1
2040080030,2,1,1
2040140031,2,1,1
2040160043,2,1,1
2040190046,2,1,1
2040200038,2,1,1
2040210011,2,1,1
2040220018,2,1,1
2040230011,2,1,1
2040230046,2,1,1
2040240044,2,1,1
2040240047,2,1,1
2040250019,2,1,1
2040260001,3,2,1
2040260002,2,1,1
2040320031,2,1,1
2040340041,2,1,1
2040350001,3,2,1
2040350003,2,1,1
2040350032,2,1,1
2040370019,2,1,1
2040390019,2,1,1
2040420013,2,1,1
2040430001,2,1,1
2040440001,2,1,1
2040470001,2,1,1
2040480040,2,1,1
2040510057,2,1,1
2040520001,2,1,1
2040520041,2,1,1
2040520056,2,1,1
2040530037,2,1,1
2040540003,2,1,1
2040540062,2,1,1
2040550046,2,1,1
2040610021,3,2,1
2040640005,2,1,1
2040640007,2,1,1
2040650004,2,1,1
2040650021,2,1,1
2040650025,3,2,1
2040660016,2,1,1
2040660018,2,1,1
2040670008,2,1,1
2040670025,2,1,1
2040680003,2,1,1
2040700111,2,1,1
2040770006,3,2,1
2040780004,2,1,1
2040780104,2,1,1
2040780113,2,1,1
2040890007,2,1,1
2040930010,2,1,1
2040950004,2,1,1
2040950034,2,1,1
2041000003,3,2,1
2041020039,2,1,1
2041020041,3,2,1
2041030014,2,1,1
2041080003,2,1,1
2041080006,4,3,1
2041100019,2,1,1
2041110007,2,1,1
2041110045,2,1,1
2041110047,2,1,1
2041120020,2,1,1
2041130014,2,1,1
2041140030,2,1,1
2041200025,2,1,1
2041260028,2,1,1
2041280004,2,1,1
2041300011,2,1,1
2041320034,5,4,1
2041400003,2,1,1
2041400006,2,1,1
2041420006,2,1,1
2041570077,2,1,1
2041580005,2,1,1
2041580044,2,1,1
2041580045,2,1,1
2041650046,2,1,1
2041670005,2,1,1
2041680026,2,1,1
2041690029,2,1,1
2041760003,5,4,1
2041770053,2,1,1
2041780022,2,1,1
2041780036,2,1,1
2041780050,2,1,1
2041910026,2,1,1
2041920045,2,1,1
2041930033,2,1,1
2041930034,2,1,1
2041970008,2,1,1
2041970025,2,1,1
2042050001,14,13,1
2042050002,7,6,1
2042050040,2,1,1
2042267502,2,1,1
2042300054,2,1,1
2042310013,3,2,1
2042310045,2,1,1
2042350032,2,1,1
2042350059,2,1,1
2042370020,2,1,1
2042420053,2,1,1
2042420055,2,1,1
2042430018,2,1,1
2042450001,2,1,1
2042470023,2,1,1
2042470024,2,1,1
2042470025,2,1,1
2042490041,2,1,1
2042580046,2,1,1
2042590014,3,2,1
2042620029,2,1,1
2042630015,2,1,1
2042640037,2,1,1
2042660010,2,1,1
2042660040,2,1,1
2042670054,2,1,1
2042670063,2,1,1
2042700013,2,1,1
2042700052,2,1,1
2042700062,2,1,1
2042740019,2,1,1
2042740045,2,1,1
2042740060,3,2,1
2042830001,2,1,1
2042940042,2,1,1
2042940043,2,1,1
2042960014,2,1,1
2043020023,2,1,1
2043100030,2,1,1
2043110011,2,1,1
2043140022,2,1,1
2043170033,2,1,1
2043300026,2,1,1
2043300031,2,1,1
2043320043,3,2,1
2043330001,39,38,1
2043410013,2,1,1
2043480035,2,1,1
2043520026,2,1,1
2043640001,2,1,1
2043640021,2,1,1
2043640038,2,1,1
2043650036,2,1,1
2043920011,2,1,1
2044100010,2,1,1
2044240017,2,1,1
2044290032,2,1,1
2044300045,3,2,1
2044350037,2,1,1
2044350038,2,1,1
2044350039,2,1,1
2044360038,2,1,1
2044400047,2,1,1
2044450051,2,1,1
2044460020,2,1,1
2044470011,2,1,1
2022600004,2,1,1
2025620019,2,1,1
2025620031,2,1,1
2025650054,2,1,1
2025650069,2,1,1
2025660055,2,1,1
2025720006,2,1,1
2025730038,2,1,1
2025730041,2,1,1
2025770056,2,1,1
2025770060,3,2,1
2025780015,2,1,1
2025800003,2,1,1
2025830030,2,1,1
2025930001,11,10,1
2025950001,6,5,1
2025990005,2,1,1
2025990092,4,3,1
2025990128,3,2,1
2026000131,2,1,1
2026030173,2,1,1
2026030192,2,1,1
2026120007,3,2,1
2026140004,2,1,1
2026170014,2,1,1
2026170171,2,1,1
2026200029,2,1,1
2026330032,2,1,1
2026340001,4,3,1
2026570017,2,1,1
2026670080,2,1,1
2026680028,2,1,1
2026690036,2,1,1
2026890011,2,1,1
2026890015,2,1,1
2026910039,2,1,1
2026910091,2,1,1
2026910094,2,1,1
2026920082,2,1,1
2026950028,2,1,1
2026990013,2,1,1
2027000028,2,1,1
2027030021,2,1,1
2027060062,2,1,1
2027070049,2,1,1
2027080013,2,1,1
2027080014,2,1,1
2027110077,2,1,1
2027140030,2,1,1
2027190013,2,1,1
2027220065,2,1,1
2027270026,2,1,1
2027280070,2,1,1
2027360011,3,2,1
2027390015,3,2,1
2027400082,2,1,1
2027400083,2,1,1
2027520009,2,1,1
2027590045,2,1,1
2027620294,2,1,1
2027620316,7,6,1
2027620365,6,5,1
2027630139,2,1,1
2027650067,3,2,1
2027660265,2,1,1
2027660291,2,1,1
2027660523,2,1,1
2027680145,3,2,1
2027680295,2,1,1
2027690064,2,1,1
2027690134,2,1,1
2027690193,5,4,1
2027700001,15,14,1
2027720079,2,1,1
2027720084,3,2,1
2027720225,2,1,1
2027750020,5,4,1
2027750085,2,1,1
2027750198,2,1,1
2027800002,22,21,1
2027810306,2,1,1
2027820018,2,1,1
2027820085,2,1,1
2027940009,2,1,1
2027970031,2,1,1
2028040031,2,1,1
2028070059,2,1,1
2028070079,2,1,1
2028090056,2,1,1
2028120021,2,1,1
2028140054,2,1,1
2028220012,2,1,1
2028230046,2,1,1
2028270001,2,1,1
2028410025,2,1,1
2028410078,2,1,1
2028420023,2,1,1
2028490013,2,1,1
2028560001,2,1,1
2028620003,2,1,1
2028650179,2,1,1
2028660070,2,1,1
2028670086,2,1,1
2028680005,2,1,1
2028680111,2,1,1
2028690034,2,1,1
2028720307,2,1,1
2028770439,2,1,1
2028790104,2,1,1
2028920009,2,1,1
2028920073,2,1,1
2028920085,2,1,1
2029000051,2,1,1
2029070026,2,1,1
2029080020,2,1,1
2029230014,3,2,1
2029310037,2,1,1
2029310072,2,1,1
2029330008,2,1,1
2029330025,2,1,1
2029390015,2,1,1
2029390023,3,2,1
2029400026,2,1,1
2029550051,2,1,1
2029580036,2,1,1
2029580042,2,1,1
2029580073,2,1,1
2029580074,2,1,1
2029620029,2,1,1
2029660111,2,1,1
2029670002,2,1,1
2029680033,2,1,1
2029680034,2,1,1
2029700017,2,1,1
2029700052,2,1,1
2029740001,2,1,1
2029740182,3,2,1
2029770110,2,1,1
2029770142,2,1,1
2029800017,2,1,1
2029860025,2,1,1
2029900022,2,1,1
2029920071,2,1,1
2029920073,9,8,1
2029930039,2,1,1
2029960047,2,1,1
2030010034,2,1,1
2030040044,2,1,1
2030060001,2,1,1
2030130001,3,2,1
2030160033,2,1,1
2030160071,3,2,1
2030350013,2,1,1
2030350017,4,3,1
2030350046,2,1,1
2030370011,3,2,1
2030370037,2,1,1
2030370038,2,1,1
2030450044,2,1,1
2030520011,2,1,1
2030550021,2,1,1
2030550024,2,1,1
2030600002,2,1,1
2030610080,13,12,1
2030640001,6,5,1
2030650031,2,1,1
2030660036,2,1,1
2030660065,2,1,1
2030680120,2,1,1
2030780041,2,1,1
2030780048,2,1,1
2030790076,2,1,1
2030790173,2,1,1
2030810004,2,1,1
2030820022,3,2,1
2030860018,2,1,1
2030870001,2,1,1
2030880044,2,1,1
2030890067,2,1,1
2030910017,3,2,1
2030910073,2,1,1
2030930048,3,2,1
2030950035,2,1,1
2030970006,2,1,1
2031020058,2,1,1
2031020065,2,1,1
2031030008,2,1,1
2031060055,4,3,1
2031100061,3,2,1
2031140005,3,2,1
2031150003,2,1,1
2031220035,4,3,1
2031220037,2,1,1
2031220048,2,1,1
2031240047,2,1,1
2031240054,3,2,1
2031260008,3,2,1
2031270026,17,16,1
2031290033,2,1,1
2031330018,2,1,1
2031440038,2,1,1
2031440050,2,1,1
2031630003,2,1,1
2031640023,2,1,1
2031650022,2,1,1
2031650024,2,1,1
2031710026,2,1,1
2031860076,2,1,1
2031860108,2,1,1
2031920022,2,1,1
2031990007,2,1,1
2032020038,3,2,1
2032040009,2,1,1
2032050005,2,1,1
2032050009,2,1,1
2032050013,2,1,1
2032070029,2,1,1
2032120038,2,1,1
2032140046,3,2,1
2032140149,2,1,1
2032150014,2,1,1
2032160002,2,1,1
2032180062,2,1,1
2032190142,2,1,1
2032220040,3,2,1
2032250009,2,1,1
2032250116,2,1,1
2032260100,10,9,1
2032280049,2,1,1
2032340019,2,1,1
2032340022,2,1,1
2032370089,2,1,1
2032370156,2,1,1
2032510401,8,7,1
2032520378,2,1,1
2032530133,2,1,1
2032540057,2,1,1
2032560094,2,1,1
2032570135,2,1,1
2032580063,2,1,1
2032600049,2,1,1
2032610026,2,1,1
2032630039,2,1,1
2032630128,2,1,1
2032630264,2,1,1
2032630324,2,1,1
2032660068,2,1,1
2032710225,2,1,1
2032730203,2,1,1
2032730225,2,1,1
2032730257,2,1,1
2032750057,2,1,1
2032770126,2,1,1
2032790013,2,1,1
2032820059,2,1,1
2032830032,3,2,1
2032840021,2,1,1
2032850045,2,1,1
2032850057,2,1,1
2032890010,2,1,1
2032890017,2,1,1
2032890020,2,1,1
2032900002,2,1,1
2032900064,2,1,1
2032950022,2,1,1
2032980045,2,1,1
2032990006,2,1,1
2032990008,2,1,1
2033000075,2,1,1
2033010090,2,1,1
2033080051,3,2,1
2033080055,2,1,1
2033090084,2,1,1
2033110111,2,1,1
2033110114,3,2,1
2033180029,2,1,1
2033230055,2,1,1
2033240068,2,1,1
2032440100,0,1,-1
2037910016,0,1,-1
2034700054,0,1,-1
2041440001,0,1,-1
2037950050,0,1,-1
2023910003,1,2,-1
2039720041,1,2,-1
2034750075,0,1,-1
2042670058,1,2,-1
2042670060,0,1,-1
2031240046,0,1,-1
2038050011,0,1,-1
2023510040,0,1,-1
2031250034,0,1,-1
2038110021,0,1,-1
2031270059,0,1,-1
2031280121,2,3,-1
2031280123,1,2,-1
2031280125,1,2,-1
2034870034,0,1,-1
2043350002,1,2,-1
2031360001,0,1,-1
2031380001,0,1,-1
2031390001,0,1,-1
2031430119,0,1,-1
2031440004,0,1,-1
2031440005,0,1,-1
2031440006,0,1,-1
2038130073,2,3,-1
2031440065,0,1,-1
2031440066,0,1,-1
2031490081,0,1,-1
2043400095,0,1,-1
2042700019,0,1,-1
2042430036,1,2,-1
2041680045,0,1,-1
2034990027,0,1,-1
2041690027,1,2,-1
2039790007,0,1,-1
2044450050,2,3,-1
2031980014,1,2,-1
2041740036,1,2,-1
2031990101,0,1,-1
2031990102,0,1,-1
2039810100,0,1,-1
2022830001,1,2,-1
2040800012,0,1,-1
2023690045,1,2,-1
2023150014,0,1,-1
2032070027,1,2,-1
2035230007,2,3,-1
2040890006,1,2,-1
2023650009,0,1,-1
2038230059,1,2,-1
2038270044,0,1,-1
2043420046,0,1,-1
2032160070,0,1,-1
2032190140,2,3,-1
2035420020,0,1,-1
2023890028,0,1,-1
2035580018,0,1,-1
2032250010,4,5,-1
2042720005,0,1,-1
2032250141,0,1,-1
2039970028,1,2,-1
2023460043,0,1,-1
2032310265,0,1,-1
2032310350,0,1,-1
2040940017,0,1,-1
2035790001,0,1,-1
2041780021,1,2,-1
2040030001,0,1,-1
2032400004,1,2,-1
2025420043,0,1,-1
2025500051,0,1,-1
2025500053,0,1,-1
2025500055,0,1,-1
2025540054,0,1,-1
2023880016,0,1,-1
2032510421,0,1,-1
2032520320,1,2,-1
2025770002,0,1,-1
2025770003,0,1,-1
2023410028,2,3,-1
2032550078,0,1,-1
2025820165,0,1,-1
2032560045,0,1,-1
2038450021,0,1,-1
2036100058,0,1,-1
2040077501,1,2,-1
2032590014,2,3,-1
2032600048,1,2,-1
2025990295,0,1,-1
2038460016,0,1,-1
2026000142,2,3,-1
2026010035,4,5,-1
2032610024,1,2,-1
2036130022,0,1,-1
2026040180,0,1,-1
2026040275,1,2,-1
2025390502,0,1,-1
2025390071,0,1,-1
2025330022,0,1,-1
2026060140,0,1,-1
2026060220,0,1,-1
2026070017,0,1,-1
2026090002,0,1,-1
2025300068,1,2,-1
2025260090,0,1,-1
2026120003,0,1,-1
2023840020,0,1,-1
2038460017,0,1,-1
2032630130,1,2,-1
2026190018,0,1,-1
2026240234,1,2,-1
2026260001,4,5,-1
2026280001,5,6,-1
2026300047,2,3,-1
2038590030,0,1,-1
2032630325,2,3,-1
2026430050,0,1,-1
2032640001,0,1,-1
2036470001,0,1,-1
2032710138,0,1,-1
2036480001,0,1,-1
2026690060,0,1,-1
2026740009,0,1,-1
2026740045,0,1,-1
2026780001,1,2,-1
2026780044,1,2,-1
2026810006,0,1,-1
2023830039,0,1,-1
2023790045,1,2,-1
2025260010,2,3,-1
2026910022,0,1,-1
2026910056,0,1,-1
2026910064,0,1,-1
2040080010,0,1,-1
2026920036,0,1,-1
2023750021,0,1,-1
2026930005,1,2,-1
2032730800,1,2,-1
2026960095,1,2,-1
2026980071,0,1,-1
2026980075,0,1,-1
2040110125,0,1,-1
2036530021,2,3,-1
2032790056,1,2,-1
2044410026,1,2,-1
2027070060,1,2,-1
2042540011,0,1,-1
2036600024,1,2,-1
2036700001,0,1,-1
2027180052,0,1,-1
2038680022,0,1,-1
2027220035,2,3,-1
2042540014,0,1,-1
2027270001,1,2,-1
2042580005,0,1,-1
2027280022,0,1,-1
2027280042,0,1,-1
2027280064,1,2,-1
2022930033,0,1,-1
2027290006,1,2,-1
2025170027,0,1,-1
2032900004,2,3,-1
2027360242,0,1,-1
2027360297,0,1,-1
2038770001,5,6,-1
2032910001,2,3,-1
2043250017,0,1,-1
2027410200,0,1,-1
2027450002,0,1,-1
2027450030,0,1,-1
2027470001,1,2,-1
2032950029,1,2,-1
2032960061,0,1,-1
2027590388,0,1,-1
2025170026,0,1,-1
2036860012,1,2,-1
2032980046,1,2,-1
2032990007,2,3,-1
2027630162,1,2,-1
2027630224,1,2,-1
2027630353,1,2,-1
2038780020,1,2,-1
2025140065,1,2,-1
2040230045,2,3,-1
2041080115,0,1,-1
2033020021,2,3,-1
2038830025,0,1,-1
2027680251,0,1,-1
2042590015,2,3,-1
2023740061,0,1,-1
2040240045,1,2,-1
2042590127,0,1,-1
2036920051,0,1,-1
2027710074,0,1,-1
2027720072,0,1,-1
2040240048,1,2,-1
2033210065,0,1,-1
2033220017,0,1,-1
2027720256,2,3,-1
2027740198,0,1,-1
2023740018,1,2,-1
2040250018,0,1,-1
2027750145,2,3,-1
2041110043,0,1,-1
2027770433,0,1,-1
2027770901,1,2,-1
2027790001,1,2,-1
2023720037,0,1,-1
2027800500,0,1,-1
2040250022,0,1,-1
2027810401,0,1,-1
2033290068,1,2,-1
2033290128,0,1,-1
2027930014,0,1,-1
2033300044,1,2,-1
2033300052,0,1,-1
2024930027,0,1,-1
2028020029,0,1,-1
2040250027,0,1,-1
2028050048,0,1,-1
2022800072,0,1,-1
2039000001,1,2,-1
2028080037,0,1,-1
2024620020,0,1,-1
2042620050,0,1,-1
2037020049,0,1,-1
2040300044,0,1,-1
2033350134,0,1,-1
2039040034,0,1,-1
2042930044,0,1,-1
2028280001,0,1,-1
2028320001,1,2,-1
2028390001,0,1,-1
2033370047,1,2,-1
2037130069,0,1,-1
2037150055,2,3,-1
2024590054,0,1,-1
2042090054,0,1,-1
2028500063,0,1,-1
2028510019,1,2,-1
2028510041,1,2,-1
2039130047,0,1,-1
2028570045,1,2,-1
2028590034,0,1,-1
2028590038,3,4,-1
2041140029,2,3,-1
2028640021,1,2,-1
2028650001,0,1,-1
2024410200,0,1,-1
2033440059,0,1,-1
2039140029,0,1,-1
2028670084,1,2,-1
2042190044,0,1,-1
2033530005,1,2,-1
2041150045,0,1,-1
2037320053,0,1,-1
2028720182,0,1,-1
2040370017,2,3,-1
2028720407,0,1,-1
2028730016,1,2,-1
2024390046,0,1,-1
2037330063,0,1,-1
2028780150,4,5,-1
2028780183,0,1,-1
2028790051,0,1,-1
2028790169,0,1,-1
2028800135,1,2,-1
2028810038,0,1,-1
2028870142,0,1,-1
2028870169,0,1,-1
2024290012,0,1,-1
2028890041,0,1,-1
2028890088,1,2,-1
2033570120,0,1,-1
2033570300,0,1,-1
2033590100,0,1,-1
2028980024,0,1,-1
2029000001,0,1,-1
2033600076,0,1,-1
2029030035,0,1,-1
2029030040,0,1,-1
2024260025,1,2,-1
2033600120,0,1,-1
2029080005,0,1,-1
2023710041,0,1,-1
2029220002,0,1,-1
2029230013,0,1,-1
2042190045,0,1,-1
2029240038,0,1,-1
2024110010,0,1,-1
2022800075,0,1,-1
2033640005,1,2,-1
2029310105,0,1,-1
2040400018,1,2,-1
2041260029,2,3,-1
2040420021,0,1,-1
2033710012,1,2,-1
2033740013,0,1,-1
2029460014,0,1,-1
2029530006,0,1,-1
2029550032,0,1,-1
2023640015,0,1,-1
2029550052,0,1,-1
2040420204,2,3,-1
2037520151,1,2,-1
2033760025,0,1,-1
2040420325,1,2,-1
2037530041,2,3,-1
2029650013,0,1,-1
2029650199,0,1,-1
2023400058,0,1,-1
2029660113,1,2,-1
2039297501,1,2,-1
2037590069,0,1,-1
2039300033,0,1,-1
2029700013,0,1,-1
2033840010,1,2,-1
2042260070,1,2,-1
2040430008,0,1,-1
2033850038,1,2,-1
2029760050,0,1,-1
2022800037,0,1,-1
2029770138,0,1,-1
2040440010,0,1,-1
2041300012,1,2,-1
2040480032,1,2,-1
2022600140,0,1,-1
2039350056,0,1,-1
2039350058,0,1,-1
2040490007,0,1,-1
2029960049,1,2,-1
2029990003,2,3,-1
2029990042,0,1,-1
2022870002,0,1,-1
2033970016,0,1,-1
2030040046,1,2,-1
2030060036,1,2,-1
2024090050,0,1,-1
2034290009,0,1,-1
2030140005,0,1,-1
2030150005,1,2,-1
2030160011,0,1,-1
2030170006,0,1,-1
2030230064,0,1,-1
2030280003,0,1,-1
2030290005,0,1,-1
