bbl,numbldgs,numfootprints,difference
2032730085,2740,1,2739
2034327502,72,62,10
2026790001,9,1,8
2029290008,7,1,6
2038440016,6,1,5
2030090013,6,1,5
2026050040,203,199,4
2040420350,19,15,4
2024270047,5,1,4
2033090023,6,3,3
2032730390,5,2,3
2043550001,19,16,3
2032730001,39,36,3
2033270001,9,6,3
2026900081,4,1,3
2041760001,4,1,3
2037480002,4,1,3
2026110001,4,1,3
2030670042,4,1,3
2040820001,4,1,3
2028760217,3,1,2
2028650088,4,2,2
2028540008,3,1,2
2033600130,4,2,2
2033570018,4,2,2
2042260030,25,23,2
2028450047,3,1,2
2028090017,3,1,2
2023730048,3,1,2
2033220047,5,3,2
2040040011,3,1,2
2027970039,3,1,2
2024990108,3,1,2
2039970046,3,1,2
2027660254,4,2,2
2027610092,3,1,2
2027290012,4,2,2
2023270024,3,1,2
2041340001,3,1,2
2044310041,3,1,2
2026190016,3,1,2
2023490112,4,2,2
2025270050,3,1,2
2026100038,3,1,2
2026060030,4,2,2
2026050020,12,10,2
2041060045,6,4,2
2026000187,3,1,2
2032610160,3,1,2
2023870010,3,1,2
2032470001,16,14,2
2039720059,3,1,2
2032400059,3,1,2
2032220062,31,29,2
2043600001,3,1,2
2031110035,5,3,2
2024000001,3,1,2
2030670066,3,1,2
2040920027,3,1,2
2040660025,3,1,2
2035250013,4,2,2
2035130022,3,1,2
2024220004,3,1,2
2024230020,3,1,2
2029060093,3,1,2
2028880033,3,1,2
2042850001,6,4,2
2025260064,3,2,1
2044470021,2,1,1
2022760001,2,1,1
2022770078,2,1,1
2022870008,2,1,1
2022980101,4,3,1
2023070010,2,1,1
2023170001,3,2,1
2023170033,2,1,1
2023220081,2,1,1
2023290083,4,3,1
2023300010,2,1,1
2023310012,2,1,1
2023310034,2,1,1
2023310069,3,2,1
2023330001,2,1,1
2023400028,2,1,1
2023400110,2,1,1
2023400116,2,1,1
2023400372,2,1,1
2023470038,2,1,1
2023480045,2,1,1
2023490100,2,1,1
2023510022,2,1,1
2023520003,3,2,1
2023590003,2,1,1
2023600097,2,1,1
2023607501,74,73,1
2023680002,2,1,1
2023700024,2,1,1
2023700030,2,1,1
2023720047,2,1,1
2023730027,2,1,1
2023740020,2,1,1
2023790007,2,1,1
2023790019,2,1,1
2023790140,2,1,1
2023790143,2,1,1
2023800035,2,1,1
2023810062,2,1,1
2023880054,3,2,1
2023890055,2,1,1
2023980001,2,1,1
2024020005,3,2,1
2024070018,2,1,1
2024080016,2,1,1
2024100048,2,1,1
2024100061,2,1,1
2024110001,2,1,1
2024210055,2,1,1
2024260064,5,4,1
2024360021,2,1,1
2024440001,2,1,1
2024480021,2,1,1
2024500040,2,1,1
2024560070,2,1,1
2024560075,2,1,1
2024590053,2,1,1
2024660011,2,1,1
2024780030,2,1,1
2024880046,2,1,1
2024940001,7,6,1
2025060081,2,1,1
2025120057,2,1,1
2025220039,2,1,1
2025220057,2,1,1
2025260012,2,1,1
2025260046,2,1,1
2033290067,3,2,1
2033310007,2,1,1
2033320007,2,1,1
2033320010,2,1,1
2033320030,2,1,1
2033320070,2,1,1
2033330018,2,1,1
2033350184,2,1,1
2033360035,4,3,1
2033370049,2,1,1
2033370052,2,1,1
2033370056,2,1,1
2033380051,2,1,1
2033420061,2,1,1
2033450031,2,1,1
2033480025,2,1,1
2033530056,3,2,1
2033530058,2,1,1
2033550059,3,2,1
2033560036,2,1,1
2033630023,2,1,1
2033640001,2,1,1
2033640025,2,1,1
2033650079,3,2,1
2033710004,2,1,1
2033740039,2,1,1
2033740042,2,1,1
2033750068,2,1,1
2033790006,2,1,1
2033790050,2,1,1
2033790100,2,1,1
2033800013,2,1,1
2033820032,2,1,1
2033830084,2,1,1
2033840012,2,1,1
2033840018,2,1,1
2033860034,2,1,1
2033870003,2,1,1
2033870036,2,1,1
2033870038,2,1,1
2033870041,2,1,1
2033890004,2,1,1
2033890005,2,1,1
2033890025,2,1,1
2033910035,2,1,1
2033950045,2,1,1
2034290041,2,1,1
2034290209,3,2,1
2034290320,2,1,1
2034290343,2,1,1
2034290427,2,1,1
2034300279,2,1,1
2034350018,2,1,1
2034450031,2,1,1
2034470028,2,1,1
2034470050,2,1,1
2034530052,2,1,1
2034530057,2,1,1
2034540039,2,1,1
2034560005,3,2,1
