bbl,lotarea,lotareaprev,lotarea18v21,lotfront,lotfrontprev,lotfront18v21,lotdepth,lotdepthprev,lotdepth18v21,bldgfront,bldgfrontprev,bldgfront18v21,bldgdepth,bldgdepthprev,bldgdepth18v21,builtfar
1000747501,41656,41656,41656,276.500000000,0.00,276.500000000,159.870000000,0.00,159.870000000,244.000000000,0.00,244.000000000,141.000000000,0.00,141.000000000,17.86
1000757501,1600,1600,1600,75.0000000000,0.00,75.0000000000,54.0000000000,0.00,54.0000000000,24.5800000000,0.00,24.5800000000,19.6700000000,0.00,19.6700000000,4.87
1000757502,2096,2096,2096,21.0000000000,0.00,21.0000000000,97.0000000000,0.00,97.0000000000,21.0800000000,0.00,21.0800000000,88.0000000000,0.00,88.0000000000,3.32
1000757503,2560,2560,2560,26.3000000000,0.00,26.3000000000,96.4000000000,0.00,96.4000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,6.63
1000767501,10030,10030,10030,60.1700000000,0.00,60.1700000000,150.500000000,0.00,150.500000000,60.0000000000,0.00,60.0000000000,90.0000000000,0.00,90.0000000000,15.80
1000767502,29668,29668,29668,154.500000000,0.00,154.500000000,187.170000000,0.00,187.170000000,128.000000000,0.00,128.000000000,172.000000000,0.00,172.000000000,13.10
1000787502,5516,5516,5516,51.2500000000,0.00,51.2500000000,110.830000000,0.00,110.830000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,3.22
1000787503,8780,8780,8780,85.8300000000,0.00,85.8300000000,102.580000000,0.00,102.580000000,85.0000000000,0.00,85.0000000000,100.000000000,0.00,100.000000000,4.40
1000787504,7746,7746,7746,79.6900000000,0.00,79.6900000000,101.000000000,0.00,101.000000000,79.0000000000,0.00,79.0000000000,100.000000000,0.00,100.000000000,5.27
1000787505,8044,8044,8044,99.7500000000,0.00,99.7500000000,77.0000000000,0.00,77.0000000000,100.000000000,0.00,100.000000000,77.0000000000,0.00,77.0000000000,3.99
1000787506,3992,3992,3992,49.6700000000,0.00,49.6700000000,81.0000000000,0.00,81.0000000000,50.0000000000,0.00,50.0000000000,78.0000000000,0.00,78.0000000000,6.74
1000787507,10551,10551,10551,122.000000000,0.00,122.000000000,90.0800000000,0.00,90.0800000000,122.000000000,0.00,122.000000000,90.0000000000,0.00,90.0000000000,9.27
1000787508,12156,12156,12156,75.0000000000,0.00,75.0000000000,113.700000000,0.00,113.700000000,75.0000000000,0.00,75.0000000000,113.000000000,0.00,113.000000000,6.68
1000787509,2486,2486,2486,24.2500000000,0.00,24.2500000000,101.580000000,0.00,101.580000000,24.0000000000,0.00,24.0000000000,102.000000000,0.00,102.000000000,4.63
1000787510,2015,2015,2015,25.0000000000,0.00,25.0000000000,81.0800000000,0.00,81.0800000000,24.0000000000,0.00,24.0000000000,79.0000000000,0.00,79.0000000000,11.66
1000797501,2718,2718,2718,25.1700000000,0.00,25.1700000000,108.000000000,0.00,108.000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,5.07
1000797502,6065,6065,6065,114.080000000,0.00,114.080000000,57.6700000000,0.00,57.6700000000,114.000000000,0.00,114.000000000,57.0000000000,0.00,57.0000000000,9.36
1000797503,5035,5035,5035,51.0800000000,0.00,51.0800000000,101.580000000,0.00,101.580000000,51.0800000000,0.00,51.0800000000,101.580000000,0.00,101.580000000,12.15
1000847501,51055,51055,51055,212.830000000,0.00,212.830000000,255.000000000,0.00,255.000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,11.13
1000907501,12850,12850,12850,103.000000000,0.00,103.000000000,153.000000000,0.00,153.000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,26.18
1000907502,2760,2760,2760,35.0000000000,0.00,35.0000000000,70.0000000000,0.00,70.0000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,9.04
1000917501,3004,3004,3004,25.1700000000,0.00,25.1700000000,119.920000000,0.00,119.920000000,25.0000000000,0.00,25.0000000000,120.000000000,0.00,120.000000000,9.50
1000917502,23298,23298,23298,196.170000000,0.00,196.170000000,118.500000000,0.00,118.500000000,196.170000000,0.00,196.170000000,118.500000000,0.00,118.500000000,7.58
1000917503,2925,2925,2925,25.0000000000,0.00,25.0000000000,118.750000000,0.00,118.750000000,25.0000000000,0.00,25.0000000000,118.750000000,0.00,118.750000000,7.68
1000927501,9875,9875,9875,102.500000000,0.00,102.500000000,49.2100000000,0.00,49.2100000000,53.0000000000,0.00,53.0000000000,63.0000000000,0.00,63.0000000000,16.60
1000937501,19103,19103,19103,105.750000000,0.00,105.750000000,195.670000000,0.00,195.670000000,105.750000000,0.00,105.750000000,195.670000000,0.00,195.670000000,9.51
1000957501,6481,6481,6481,93.0000000000,0.00,93.0000000000,78.0000000000,0.00,78.0000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,4.81
1000977501,2746,2746,2746,37.5000000000,0.00,37.5000000000,73.1700000000,0.00,73.1700000000,37.5000000000,0.00,37.5000000000,72.8300000000,0.00,72.8300000000,3.21
1000977502,5990,5990,5990,66.5800000000,0.00,66.5800000000,72.8300000000,0.00,72.8300000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,3.58
1000977503,5325,5325,5325,75.0000000000,0.00,75.0000000000,71.0000000000,0.00,71.0000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,4.61
1000977504,4930,4930,4930,75.6500000000,0.00,75.6500000000,71.7700000000,0.00,71.7700000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,3.47
1001007501,9400,9400,9400,100.000000000,0.00,100.000000000,93.0000000000,0.00,93.0000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,17.04
1001007502,41370,41370,41370,210.370000000,0.00,210.370000000,197.970000000,0.00,197.970000000,158.880000000,0.00,158.880000000,183.300000000,0.00,183.300000000,21.77
1001067501,3085,3085,3085,0.0700000000000,0.00,0.0700000000000,0.00000000000,0.00,0.00000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,3.13
1001067502,7700,7700,7700,75.0000000000,0.00,75.0000000000,130.000000000,0.00,130.000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,4.89
1001067503,2910,2910,2910,25.3300000000,0.00,25.3300000000,117.670000000,0.00,117.670000000,25.3300000000,0.00,25.3300000000,117.670000000,0.00,117.670000000,5.24
1001067504,6250,6250,6250,48.1700000000,0.00,48.1700000000,130.000000000,0.00,130.000000000,48.1700000000,0.00,48.1700000000,130.000000000,0.00,130.000000000,5.71
1001077501,3247,3247,3247,24.4600000000,0.00,24.4600000000,145.790000000,0.00,145.790000000,25.0000000000,0.00,25.0000000000,141.000000000,0.00,141.000000000,5.45
1001077502,1800,1800,1800,24.0000000000,0.00,24.0000000000,73.0000000000,0.00,73.0000000000,24.5000000000,0.00,24.5000000000,73.0000000000,0.00,73.0000000000,3.11
1001137501,58193,58193,58193,229.610000000,0.00,229.610000000,183.050000000,0.00,183.050000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,13.85
1001237501,29411,29411,29411,151.580000000,0.00,151.580000000,197.750000000,0.00,197.750000000,149.000000000,0.00,149.000000000,196.000000000,0.00,196.000000000,29.16
1001237502,29497,29497,29497,197.290000000,0.00,197.290000000,148.000000000,0.00,148.000000000,118.000000000,0.00,118.000000000,148.000000000,0.00,148.000000000,20.69
1001247501,1824,1824,1824,24.7700000000,0.00,24.7700000000,76.0700000000,0.00,76.0700000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,3.85
1001320007,4975,0,4975,49.75,49.75,49.7500000000,100.00,100.00,100.000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,0.00
1001327501,27901,27901,27901,131.520000000,0.00,131.520000000,186.340000000,0.00,186.340000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,4.30
1001327502,1875,1875,1875,25.0000000000,0.00,25.0000000000,75.0000000000,0.00,75.0000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,6.15
1001327503,4992,4992,4992,49.9200000000,0.00,49.9200000000,100.000000000,0.00,100.000000000,49.9200000000,0.00,49.9200000000,89.0000000000,0.00,89.0000000000,9.90
1001327504,2476,2476,2476,24.7900000000,0.00,24.7900000000,99.8700000000,0.00,99.8700000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,4.12
1001327505,2500,2500,2500,25.0000000000,0.00,25.0000000000,100.000000000,0.00,100.000000000,25.0000000000,0.00,25.0000000000,100.000000000,0.00,100.000000000,4.45
1001327506,1875,1875,1875,25.0000000000,0.00,25.0000000000,75.0000000000,0.00,75.0000000000,25.0000000000,0.00,25.0000000000,75.0000000000,0.00,75.0000000000,5.75
1001337501,4750,4750,4750,47.3500000000,0.00,47.3500000000,100.190000000,0.00,100.190000000,0.00000000000,0.00,0.00000000000,100.200000000,0.00,100.200000000,6.14
1001337502,3812,3812,3812,0.0800000000000,0.00,0.0800000000000,0.00000000000,0.00,0.00000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,3.89
1001337503,2558,2558,2558,25.5000000000,0.00,25.5000000000,100.170000000,0.00,100.170000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,3.57
1001337504,3769,3769,3769,50.1700000000,0.00,50.1700000000,75.2100000000,0.00,75.2100000000,50.0000000000,0.00,50.0000000000,90.0000000000,0.00,90.0000000000,6.47
1001337505,3757,3757,3757,49.8700000000,0.00,49.8700000000,75.5200000000,0.00,75.5200000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,5.67
1001337506,3915,3915,3915,50.3700000000,0.00,50.3700000000,80.1200000000,0.00,80.1200000000,50.0000000000,0.00,50.0000000000,69.0000000000,0.00,69.0000000000,5.91
1001337507,2508,2508,2508,25.0000000000,0.00,25.0000000000,99.9200000000,0.00,99.9200000000,25.0000000000,0.00,25.0000000000,98.0000000000,0.00,98.0000000000,6.11
1001337508,2512,2512,2512,25.0000000000,0.00,25.0000000000,100.170000000,0.00,100.170000000,25.0000000000,0.00,25.0000000000,100.000000000,0.00,100.000000000,4.17
1001337509,1892,1892,1892,25.3300000000,0.00,25.3300000000,75.5800000000,0.00,75.5800000000,25.0000000000,0.00,25.0000000000,73.0000000000,0.00,73.0000000000,5.15
1001337510,4387,4387,4387,25.0000000000,0.00,25.0000000000,175.500000000,0.00,175.500000000,25.0000000000,0.00,25.0000000000,176.000000000,0.00,176.000000000,5.08
1001337511,5043,5043,5043,50.1700000000,0.00,50.1700000000,100.000000000,0.00,100.000000000,50.0000000000,0.00,50.0000000000,100.000000000,0.00,100.000000000,8.24
1001347501,18800,18800,18800,125.600000000,0.00,125.600000000,155.480000000,0.00,155.480000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,14.23
1001347502,2520,2520,2520,25.1700000000,0.00,25.1700000000,100.100000000,0.00,100.100000000,25.0000000000,0.00,25.0000000000,100.000000000,0.00,100.000000000,5.18
1001347503,10123,10123,10123,101.230000000,0.00,101.230000000,100.000000000,0.00,100.000000000,101.000000000,0.00,101.000000000,90.0000000000,0.00,90.0000000000,9.61
1001347504,3812,3812,3812,50.2500000000,0.00,50.2500000000,75.8700000000,0.00,75.8700000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,6.19
1001347505,16980,16980,16980,74.0000000000,0.00,74.0000000000,176.290000000,0.00,176.290000000,74.0000000000,0.00,74.0000000000,176.000000000,0.00,176.000000000,8.50
1001347506,2446,2446,2446,24.4400000000,0.00,24.4400000000,100.100000000,0.00,100.100000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,5.16
1001357501,9500,9500,9500,75.0000000000,0.00,75.0000000000,139.750000000,0.00,139.750000000,75.0000000000,0.00,75.0000000000,139.750000000,0.00,139.750000000,11.73
1001357502,2496,2496,2496,0.0500000000000,0.00,0.0500000000000,0.00000000000,0.00,0.00000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,5.97
1001357503,5040,5040,5040,50.2500000000,0.00,50.2500000000,100.350000000,0.00,100.350000000,50.2500000000,0.00,50.2500000000,94.7100000000,0.00,94.7100000000,7.49
1001357504,18814,18814,18814,50.0800000000,0.00,50.0800000000,242.690000000,0.00,242.690000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,15.86
1001357505,2504,2504,2504,24.9600000000,0.00,24.9600000000,100.330000000,0.00,100.330000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,5.92
1001357506,1858,1858,1858,24.7900000000,0.00,24.7900000000,75.0000000000,0.00,75.0000000000,24.7900000000,0.00,24.7900000000,68.0000000000,0.00,68.0000000000,5.35
1001357507,1877,1877,1877,25.0000000000,0.00,25.0000000000,75.0000000000,0.00,75.0000000000,25.0000000000,0.00,25.0000000000,75.0000000000,0.00,75.0000000000,5.26
1001357508,2760,2760,2760,25.4000000000,0.00,25.4000000000,100.000000000,0.00,100.000000000,25.3000000000,0.00,25.3000000000,100.000000000,0.00,100.000000000,4.39
1001367501,4420,4420,4420,25.1000000000,0.00,25.1000000000,176.000000000,0.00,176.000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,4.95
1001367502,10120,10120,10120,100.000000000,0.00,100.000000000,100.000000000,0.00,100.000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,6.49
1001367503,4044,4044,4044,53.7500000000,0.00,53.7500000000,75.2500000000,0.00,75.2500000000,53.7500000000,0.00,53.7500000000,75.0000000000,0.00,75.0000000000,8.03
1001367504,2506,2506,2506,25.2500000000,0.00,25.2500000000,100.250000000,0.00,100.250000000,25.0000000000,0.00,25.0000000000,88.0000000000,0.00,88.0000000000,5.79
1001367505,7541,7541,7541,75.0000000000,0.00,75.0000000000,100.920000000,0.00,100.920000000,75.0000000000,0.00,75.0000000000,100.960000000,0.00,100.960000000,9.47
1001377501,3750,3750,3750,50.0000000000,0.00,50.0000000000,76.0000000000,0.00,76.0000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,4.39
1001377502,27901,0,27901,131.520000000,0.00,131.520000000,186.340000000,0.00,186.340000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,3.72
1001377503,4004,4004,4004,48.8600000000,0.00,48.8600000000,101.000000000,0.00,101.000000000,49.0000000000,0.00,49.0000000000,97.0000000000,0.00,97.0000000000,6.60
1001377504,1875,1875,1875,25.0800000000,0.00,25.0800000000,76.0800000000,0.00,76.0800000000,25.0000000000,0.00,25.0000000000,71.0000000000,0.00,71.0000000000,4.46
1001377505,1922,1922,1922,25.1700000000,0.00,25.1700000000,76.2500000000,0.00,76.2500000000,25.0000000000,0.00,25.0000000000,76.0000000000,0.00,76.0000000000,6.86
1001407501,14626,14626,14626,132.170000000,0.00,132.170000000,78.8700000000,0.00,78.8700000000,78.8700000000,0.00,78.8700000000,132.100000000,0.00,132.100000000,6.01
1001407502,9900,9900,9900,83.1000000000,0.00,83.1000000000,144.000000000,0.00,144.000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,6.68
1001407503,7640,7640,7640,99.9400000000,0.00,99.9400000000,76.4400000000,0.00,76.4400000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,3.87
1001407504,1920,1920,1920,24.9400000000,0.00,24.9400000000,77.1700000000,0.00,77.1700000000,24.9400000000,0.00,24.9400000000,70.0000000000,0.00,70.0000000000,4.76
1001407505,7662,7662,7662,100.000000000,0.00,100.000000000,76.4200000000,0.00,76.4200000000,100.000000000,0.00,100.000000000,76.0000000000,0.00,76.0000000000,12.06
1001417501,3820,3820,3820,30.5000000000,0.00,30.5000000000,127.500000000,0.00,127.500000000,30.0000000000,0.00,30.0000000000,0.00000000000,0.00,0.00000000000,4.66
1001417502,2995,2995,2995,45.5800000000,0.00,45.5800000000,131.830000000,0.00,131.830000000,45.5800000000,0.00,45.5800000000,80.0000000000,0.00,80.0000000000,3.44
1001417503,3181,3181,3181,25.0000000000,0.00,25.0000000000,127.250000000,0.00,127.250000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,4.10
