bbl,lotarea,lotareaprev,lotarea18v21,lotfront,lotfrontprev,lotfront18v21,lotdepth,lotdepthprev,lotdepth18v21,bldgfront,bldgfrontprev,bldgfront18v21,bldgdepth,bldgdepthprev,bldgdepth18v21,builtfar
1000010010,7736692,7736692,7736692,177.610000000,0.00,177.610000000,0.00000000000,0.00,0.00000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,0.35
1000010201,2764190,2764190,2764190,63.4500000000,0.00,63.4500000000,0.00000000000,0.00,0.00000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,0.22
1000047501,111382,111382,111382,341.990000000,0.00,341.990000000,290.520000000,0.00,290.520000000,308.000000000,0.00,308.000000000,210.000000000,0.00,210.000000000,16.95
1000057501,54023,54023,54023,197.870000000,0.00,197.870000000,296.450000000,0.00,296.450000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,10.35
1000077501,7780,7780,7780,106.000000000,0.00,106.000000000,74.4200000000,0.00,74.4200000000,106.000000000,0.00,106.000000000,36.0000000000,0.00,36.0000000000,5.67
1000077502,3095,3095,3095,29.4200000000,0.00,29.4200000000,106.580000000,0.00,106.580000000,30.0000000000,0.00,30.0000000000,107.000000000,0.00,107.000000000,4.81
1000087501,9053,9053,9053,108.000000000,0.00,108.000000000,91.5800000000,0.00,91.5800000000,106.000000000,0.00,106.000000000,91.0000000000,0.00,91.0000000000,18.67
1000117501,2242,2242,2242,25.4000000000,0.00,25.4000000000,91.4000000000,0.00,91.4000000000,25.0000000000,0.00,25.0000000000,0.00000000000,0.00,0.00000000000,4.07
1000157501,64633,64633,64633,180.670000000,0.00,180.670000000,363.960000000,0.00,363.960000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,18.60
1000157502,13928,13928,13928,78.6700000000,0.00,78.6700000000,179.580000000,0.00,179.580000000,76.6700000000,0.00,76.6700000000,179.580000000,0.00,179.580000000,12.91
1000167501,16951,16951,16951,133.000000000,0.00,133.000000000,122.440000000,0.00,122.440000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,10.54
1000167502,27838,27838,27838,287.380000000,0.00,287.380000000,100.500000000,0.00,100.500000000,287.000000000,0.00,287.000000000,100.000000000,0.00,100.000000000,4.43
1000167503,12644,12644,12644,121.830000000,0.00,121.830000000,103.780000000,0.00,103.780000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,6.86
1000167504,16108,16108,16108,133.580000000,0.00,133.580000000,122.000000000,0.00,122.000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,4.53
1000167505,23910,23910,23910,160.000000000,0.00,160.000000000,149.630000000,0.00,149.630000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,8.53
1000167506,15000,15000,15000,174.280000000,0.00,174.280000000,103.000000000,0.00,103.000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,5.44
1000167507,25978,25978,25978,171.380000000,0.00,171.380000000,181.320000000,0.00,181.320000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,4.09
1000167508,37248,37248,37248,166.000000000,0.00,166.000000000,188.040000000,0.00,188.040000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,11.51
1000167509,45203,45203,45203,218.000000000,0.00,218.000000000,189.960000000,0.00,189.960000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,4.31
1000167510,24167,24167,24167,199.000000000,0.00,199.000000000,143.180000000,0.00,143.180000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,10.42
1000167511,29850,29850,29850,199.000000000,0.00,199.000000000,150.000000000,0.00,150.000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,5.28
1000167512,79338,79338,79338,259.000000000,0.00,259.000000000,269.000000000,0.00,269.000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,7.92
1000167513,46266,46266,46266,369.000000000,0.00,369.000000000,229.400000000,0.00,229.400000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,
1000167514,20763,20763,20763,202.760000000,0.00,202.760000000,102.400000000,0.00,102.400000000,202.000000000,0.00,202.000000000,102.000000000,0.00,102.000000000,16.61
1000167515,34776,34776,34776,213.000000000,0.00,213.000000000,221.000000000,0.00,221.000000000,188.600000000,0.00,188.600000000,210.730000000,0.00,210.730000000,7.23
1000167516,30713,30713,30713,164.000000000,0.00,164.000000000,248.000000000,0.00,248.000000000,235.770000000,0.00,235.770000000,164.320000000,0.00,164.320000000,16.47
1000167517,35352,35352,35352,198.000000000,0.00,198.000000000,200.000000000,0.00,200.000000000,200.000000000,0.00,200.000000000,198.000000000,0.00,198.000000000,11.53
1000167518,28721,28721,28721,247.410000000,0.00,247.410000000,124.830000000,0.00,124.830000000,247.000000000,0.00,247.000000000,100.000000000,0.00,100.000000000,8.01
1000167519,17353,17353,17353,196.000000000,0.00,196.000000000,101.000000000,0.00,101.000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,13.43
1000167520,32218,32218,32218,260.000000000,0.00,260.000000000,179.000000000,0.00,179.000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,11.71
1000167521,14500,14500,14500,196.580000000,0.00,196.580000000,71.5000000000,0.00,71.5000000000,196.000000000,0.00,196.000000000,71.0000000000,0.00,71.0000000000,19.95
1000177502,2967,2967,2967,30.0000000000,0.00,30.0000000000,89.0000000000,0.00,89.0000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,11.18
1000187501,24470,24470,24470,179.000000000,0.00,179.000000000,179.420000000,0.00,179.420000000,175.000000000,0.00,175.000000000,146.000000000,0.00,146.000000000,13.68
1000247501,16100,16100,16100,81.8300000000,0.00,81.8300000000,150.750000000,0.00,150.750000000,81.8300000000,0.00,81.8300000000,150.750000000,0.00,150.750000000,14.86
1000257501,23649,23649,23649,139.420000000,0.00,139.420000000,150.330000000,0.00,150.330000000,132.000000000,0.00,132.000000000,115.000000000,0.00,115.000000000,15.96
1000267501,39846,39846,39846,261.330000000,0.00,261.330000000,185.190000000,0.00,185.190000000,261.000000000,0.00,261.000000000,185.000000000,0.00,185.000000000,20.35
1000277501,31469,31469,31469,197.940000000,0.00,197.940000000,171.790000000,0.00,171.790000000,204.000000000,0.00,204.000000000,171.000000000,0.00,171.000000000,5.98
1000277502,24524,24524,24524,209.830000000,0.00,209.830000000,173.260000000,0.00,173.260000000,209.000000000,0.00,209.000000000,174.000000000,0.00,174.000000000,31.64
1000287501,7120,7120,7120,122.170000000,0.00,122.170000000,89.1700000000,0.00,89.1700000000,110.000000000,0.00,110.000000000,84.0000000000,0.00,84.0000000000,13.14
1000297501,9150,9150,9150,150.900000000,0.00,150.900000000,145.500000000,0.00,145.500000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,6.69
1000297502,9200,9200,9200,75.4200000000,0.00,75.4200000000,123.150000000,0.00,123.150000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,3.87
1000297503,4377,4377,4377,51.0800000000,0.00,51.0800000000,83.9800000000,0.00,83.9800000000,51.0000000000,0.00,51.0000000000,60.0000000000,0.00,60.0000000000,5.48
1000297504,3665,3665,3665,36.4200000000,0.00,36.4200000000,73.0000000000,0.00,73.0000000000,36.0000000000,0.00,36.0000000000,73.0000000000,0.00,73.0000000000,5.25
1000317501,30794,30794,30794,98.0000000000,0.00,98.0000000000,117.080000000,0.00,117.080000000,115.000000000,0.00,115.000000000,298.000000000,0.00,298.000000000,17.61
1000327501,160692,160692,160692,415.000000000,0.00,415.000000000,355.000000000,0.00,355.000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,22.30
1000397501,10576,10576,10576,174.000000000,0.00,174.000000000,63.0000000000,0.00,63.0000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,8.53
1000407501,22014,22014,22014,89.0000000000,0.00,89.0000000000,199.000000000,0.00,199.000000000,90.0000000000,0.00,90.0000000000,200.000000000,0.00,200.000000000,13.15
1000417501,4116,4116,4116,42.0000000000,0.00,42.0000000000,98.0000000000,0.00,98.0000000000,42.0000000000,0.00,42.0000000000,94.0000000000,0.00,94.0000000000,7.89
1000417502,2496,2496,2496,26.0000000000,0.00,26.0000000000,96.0000000000,0.00,96.0000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,4.63
1000417503,6488,6488,6488,46.0000000000,0.00,46.0000000000,135.000000000,0.00,135.000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,10.25
1000417504,31722,31722,31722,248.330000000,0.00,248.330000000,120.080000000,0.00,120.080000000,248.000000000,0.00,248.000000000,120.830000000,0.00,120.830000000,30.76
1000447501,22742,22742,22742,151.830000000,0.00,151.830000000,149.920000000,0.00,149.920000000,151.000000000,0.00,151.000000000,149.920000000,0.00,149.920000000,20.28
1000477501,49614,49614,49614,167.920000000,0.00,167.920000000,310.080000000,0.00,310.080000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,35.00
1000527501,6100,6100,6100,46.1500000000,0.00,46.1500000000,113.080000000,0.00,113.080000000,48.0000000000,0.00,48.0000000000,0.00000000000,0.00,0.00000000000,5.75
1000527502,6517,6517,6517,45.0000000000,0.00,45.0000000000,92.0000000000,0.00,92.0000000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,9.90
1000537501,8486,8486,8486,114.830000000,0.00,114.830000000,67.5800000000,0.00,67.5800000000,110.000000000,0.00,110.000000000,64.0000000000,0.00,64.0000000000,7.90
1000537502,14217,14217,14217,116.330000000,0.00,116.330000000,136.000000000,0.00,136.000000000,60.0000000000,0.00,60.0000000000,110.000000000,0.00,110.000000000,21.99
1000557501,30080,30080,30080,176.080000000,0.00,176.080000000,177.330000000,0.00,177.330000000,176.080000000,0.00,176.080000000,177.330000000,0.00,177.330000000,13.31
1000627501,95348,95348,95348,226.110000000,0.00,226.110000000,315.440000000,0.00,315.440000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,17.73
1000647501,2102,2102,2102,21.5800000000,0.00,21.5800000000,98.5000000000,0.00,98.5000000000,21.0000000000,0.00,21.0000000000,94.0000000000,0.00,94.0000000000,9.51
1000647502,9051,9051,9051,0.200000000000,0.00,0.200000000000,0.00000000000,0.00,0.00000000000,110.000000000,0.00,110.000000000,77.0000000000,0.00,77.0000000000,16.38
1000657501,3359,3359,3359,69.5800000000,0.00,69.5800000000,49.9200000000,0.00,49.9200000000,69.5800000000,0.00,69.5800000000,49.9200000000,0.00,49.9200000000,9.63
1000657502,7488,7488,7488,67.0000000000,0.00,67.0000000000,137.000000000,0.00,137.000000000,67.0000000000,0.00,67.0000000000,137.000000000,0.00,137.000000000,19.92
1000687501,10237,10237,10237,94.0000000000,0.00,94.0000000000,119.000000000,0.00,119.000000000,90.0000000000,0.00,90.0000000000,117.000000000,0.00,117.000000000,14.61
1000687502,9642,9642,9642,61.0000000000,0.00,61.0000000000,152.000000000,0.00,152.000000000,61.0000000000,0.00,61.0000000000,152.000000000,0.00,152.000000000,13.10
1000697502,14851,14851,14851,131.170000000,0.00,131.170000000,123.410000000,0.00,123.410000000,131.000000000,0.00,131.000000000,117.000000000,0.00,117.000000000,23.22
1000707501,20329,20329,20329,235.100000000,0.00,235.100000000,81.3300000000,0.00,81.3300000000,81.0000000000,0.00,81.0000000000,246.000000000,0.00,246.000000000,12.58
1000717501,24121,24121,24121,197.730000000,0.00,197.730000000,131.730000000,0.00,131.730000000,0.00,0.00,0.00000000000,0.00,0.00,0.00000000000,19.17
1000727501,5082,5082,5082,21.7500000000,0.00,21.7500000000,140.080000000,0.00,140.080000000,21.7500000000,0.00,21.7500000000,140.080000000,0.00,140.080000000,4.07
