bbl,billingbbl,housenum_lo,street_name,count
1000010010,0000000000,1,GOVERNORS ISLAND,1
1000010101,0000000000,1,LIBERTY ISLAND,1
1000010201,0000000000,1,ELLIS ISLAND,1
1000010301,0000000000,,JOE DIMAGGIO HIGHWAY,1
1000010401,0000000000,,JOE DIMAGGIO HIGHWAY,1
1000020003,0000000000,,MARGINAL STREET,1
1000030002,0000000000,,PETER MINUIT PLAZA,1
1000030003,0000000000,,PETER MINUIT PLAZA,1
1000030004,0000000000,,SOUTH STREET,1
1000120028,0000000000,,WHITEHALL STREET,1
1000160010,0000000000,18,1 PLACE,1
1000160012,0000000000,,MARGINAL STREET,1
1000160160,0000000000,,MARGINAL STREET,1
1000161221,,377,RECTOR PLACE,1
1000169001,1000167513,10,LITTLE WEST STREET,1
1000169002,1000167513,2,WEST STREET,1
1000169003,1000167513,10,LITTLE WEST STREET,1
1000169004,1000167513,10,LITTLE WEST STREET,1
1000169005,1000167513,10,LITTLE WEST STREET,1
1000169006,1000167513,10,LITTLE WEST STREET,1
1000169007,1000167513,10,LITTLE WEST STREET,1
1000169008,1000167513,10,LITTLE WEST STREET,1
1000169009,1000167513,10,LITTLE WEST STREET,1
1000169010,1000167513,10,LITTLE WEST STREET,1
1000169011,1000167513,10,LITTLE WEST STREET,1
1000169012,1000167513,10,LITTLE WEST STREET,1
1000169013,1000167513,10,LITTLE WEST STREET,1
1000169014,1000167513,10,LITTLE WEST STREET,1
1000169015,1000167513,10,LITTLE WEST STREET,1
1000169016,1000167513,10,LITTLE WEST STREET,1
1000169017,1000167513,10,LITTLE WEST STREET,1
1000169018,1000167513,10,LITTLE WEST STREET,1
1000169019,1000167513,10,LITTLE WEST STREET,1
1000169020,1000167513,10,LITTLE WEST STREET,1
1000169021,1000167513,10,LITTLE WEST STREET,1
1000169022,1000167513,10,LITTLE WEST STREET,1
1000169023,1000167513,10,LITTLE WEST STREET,1
1000169024,1000167513,10,LITTLE WEST STREET,1
1000169025,1000167513,10,LITTLE WEST STREET,1
1000169026,1000167513,10,LITTLE WEST STREET,1
1000169027,1000167513,10,LITTLE WEST STREET,1
1000169028,1000167513,10,LITTLE WEST STREET,1
1000169029,1000167513,10,LITTLE WEST STREET,1
1000169030,1000167513,10,LITTLE WEST STREET,1
1000169031,1000167513,10,LITTLE WEST STREET,1
1000169032,1000167513,10,LITTLE WEST STREET,1
1000169033,1000167513,10,LITTLE WEST STREET,1
1000169034,1000167513,10,LITTLE WEST STREET,1
1000169035,1000167513,10,LITTLE WEST STREET,1
1000169036,1000167513,10,LITTLE WEST STREET,1
1000169037,1000167513,10,LITTLE WEST STREET,1
1000169038,1000167513,10,LITTLE WEST STREET,1
1000169039,1000167513,10,LITTLE WEST STREET,1
1000169040,1000167513,10,LITTLE WEST STREET,1
1000169041,1000167513,10,LITTLE WEST STREET,1
1000169042,1000167513,10,LITTLE WEST STREET,1
1000169043,1000167513,10,LITTLE WEST STREET,1
1000169044,1000167513,10,LITTLE WEST STREET,1
1000169045,1000167513,10,LITTLE WEST STREET,1
1000169046,1000167513,10,LITTLE WEST STREET,1
1000169047,1000167513,10,LITTLE WEST STREET,1
1000169048,1000167513,10,LITTLE WEST STREET,1
1000169049,1000167513,10,LITTLE WEST STREET,1
1000169050,1000167513,10,LITTLE WEST STREET,1
1000169051,1000167513,10,LITTLE WEST STREET,1
1000169052,1000167513,10,LITTLE WEST STREET,1
1000169053,1000167513,10,LITTLE WEST STREET,1
1000169054,1000167513,10,LITTLE WEST STREET,1
1000169055,1000167513,10,LITTLE WEST STREET,1
1000169056,1000167513,10,LITTLE WEST STREET,1
1000169057,1000167513,10,LITTLE WEST STREET,1
1000169058,1000167513,10,LITTLE WEST STREET,1
1000169059,1000167513,10,LITTLE WEST STREET,1
1000169060,1000167513,10,LITTLE WEST STREET,1
1000169061,1000167513,10,LITTLE WEST STREET,1
1000169062,1000167513,10,LITTLE WEST STREET,1
1000169063,1000167513,10,LITTLE WEST STREET,1
1000169064,1000167513,10,LITTLE WEST STREET,1
1000169065,1000167513,10,LITTLE WEST STREET,1
1000169066,1000167513,10,LITTLE WEST STREET,1
1000169067,1000167513,10,LITTLE WEST STREET,1
1000169068,1000167513,10,LITTLE WEST STREET,1
1000169069,1000167513,10,LITTLE WEST STREET,1
1000169070,1000167513,10,LITTLE WEST STREET,1
1000169071,1000167513,10,LITTLE WEST STREET,1
1000169072,1000167513,10,LITTLE WEST STREET,1
1000169073,1000167513,10,LITTLE WEST STREET,1
1000169074,1000167513,10,LITTLE WEST STREET,1
1000169075,1000167513,10,LITTLE WEST STREET,1
1000169076,1000167513,10,LITTLE WEST STREET,1
1000169077,1000167513,10,LITTLE WEST STREET,1
1000169078,1000167513,10,LITTLE WEST STREET,1
1000169079,1000167513,10,LITTLE WEST STREET,1
1000169080,1000167513,10,LITTLE WEST STREET,1
1000169081,1000167513,10,LITTLE WEST STREET,1
1000169082,1000167513,10,LITTLE WEST STREET,1
1000169083,1000167513,10,LITTLE WEST STREET,1
1000169084,1000167513,10,LITTLE WEST STREET,1
1000169085,1000167513,10,LITTLE WEST STREET,1
1000169086,1000167513,10,WEST STREET,1
1000169087,1000167513,10,LITTLE WEST STREET,1
1000169088,1000167513,10,LITTLE WEST STREET,1
1000169089,1000167513,10,LITTLE WEST STREET,1
1000169090,1000167513,10,LITTLE WEST STREET,1
1000169091,1000167513,10,LITTLE WEST STREET,1
1000169092,1000167513,10,LITTLE WEST STREET,1
1000169093,1000167513,10,LITTLE WEST STREET,1
1000169094,1000167513,10,LITTLE WEST STREET,1
1000169095,1000167513,10,LITTLE WEST STREET,1
1000169096,1000167513,10,LITTLE WEST STREET,1
1000169097,1000167513,10,LITTLE WEST STREET,1
1000169098,1000167513,10,LITTLE WEST STREET,1
1000169099,1000167513,10,LITTLE WEST STREET,1
1000169100,1000167513,10,LITTLE WEST STREET,1
1000169101,1000167513,10,LITTLE WEST STREET,1
1000169102,1000167513,10,LITTLE WEST STREET,1
1000169103,1000167513,10,LITTLE WEST STREET,1
1000169104,1000167513,10,LITTLE WEST STREET,1
1000169105,1000167513,10,LITTLE WEST STREET,1
1000169106,1000167513,10,LITTLE WEST STREET,1
1000169107,1000167513,10,LITTLE WEST STREET,1
1000169108,1000167513,10,LITTLE WEST STREET,1
1000169109,1000167513,10,LITTLE WEST STREET,1
1000169110,1000167513,10,LITTLE WEST STREET,1
1000169111,1000167513,10,LITTLE WEST STREET,1
1000169112,1000167513,10,LITTLE WEST STREET,1
1000169113,1000167513,10,LITTLE WEST STREET,1
1000169114,1000167513,10,LITTLE WEST STREET,1
1000169115,1000167513,10,LITTLE WEST STREET,1
1000169116,1000167513,10,LITTLE WEST STREET,1
1000169117,1000167513,10,LITTLE WEST STREET,1
1000280028,0000000000,,BEAVER STREET,1
1000360012,0000000000,,PIER 9,1
1000360018,0000000000,1,PIER 11,1
1000360025,0000000000,13,SOUTH STREET,1
1000540030,0000000000,,LIBERTY STREET,1
1000640106,0000000000,,LIBERTY PLACE,1
1000720115,0000000000,167,FRONT STREET,1
1000730014,0000000000,,SOUTH STREET,1
1000730017,0000000000,,PIER 19,1
1000730028,0000000000,,MARGINAL STREET,1
1000730029,0000000000,,MARGINAL STREET,1
1000740020,0000000000,2,FULTON STREET,1
1000907504,,25,PARK ROW,1
1000920001,,,WILLIAM STREET,1
1000921201,,161,WILLIAM,1
1000921202,,161,WILLIAM,1
1000921203,,161,WILLIAM,1
