bbl,billingbbl,housenum_lo,street_name,count
1000921204,,161,WILLIAM,1
1000921205,,161,WILLIAM,1
1000921206,,161,WILLIAM,1
1000921207,,161,WILLIAM,1
1000921208,,161,WILLIAM,1
1000921209,,161,WILLIAM,1
1000921210,,161,WILLIAM,1
1000921211,,161,WILLIAM,1
1000921212,,161,WILLIAM,1
1000921213,,161,WILLIAM,1
1000921214,,161,WILLIAM,1
1000921215,,161,WILLIAM,1
1000921216,,161,WILLIAM,1
1000921217,,161,WILLIAM,1
1000921218,,161,WILLIAM,1
1000921219,,161,WILLIAM,1
1000921220,,161,WILLIAM,1
1000921221,,161,WILLIAM,1
1000921222,,161,WILLIAM,1
1000927502,,161,WILLIAM,1
1000931101,1000937502,156,WILLIAM STREET,1
1000931102,1000937502,156,WILLIAM STREET,1
1000937502,1000937502,156,WILLIAM STREET,1
1000960013,0000000000,,FRONT STREET,1
1001170100,0000000000,,CHATHAM SQUARE,1
1001200009,0000000000,,FRANKFORT STREET,1
1001210027,0000000000,,PARK ROW,1
1001231014,,2,PARK PLACE,1
1001491128,,57,READE STREET,1
1001550031,0000000000,,LAFAYETTE STREET,1
1001580017,0000000000,,CENTRE STREET,1
1001610003,0000000000,,PARK ROW,1
1001740135,0000000000,,BROADWAY,1
1001741307,,87,LEONARD STREET,1
1001749031,0000000000,,BROADWAY,1
1001760118,0000000000,,WEST BROADWAY,1
1001840010,0000000000,,MARGINAL STREET,1
1001970011,,,CENTRE STREET,1
1002410018,0000000000,42,SOUTH STREET,1
1002410022,0000000000,44,SOUTH STREET,1
1002470002,0000000000,,CHERRY STREET,1
1002560003,0000000000,,MADISON STREET,1
1002790070,0000000000,,OLIVER STREET,1
1002790072,0000000000,,OLIVER STREET,1
1002791108,,11,EAST BROADWAY,1
1002930030,0000000000,6 1/2,ELDRIDGE STREET,1
1003160114,0000000000,,GRAND STREET,1
1003220008,0000000000,321,DELANCEY STREET,1
1003220040,0000000000,,MANGIN STREET,1
1003230002,0000000000,326,DELANCEY STREET,1
1003230101,0000000000,,DELANCEY STREET,1
1003320052,0000000000,293,DELANCEY STREET,1
1003360013,0000000000,10,PITT STREET,1
1003460075,0000000000,,NORFOLK STREET,1
1003470046,0000000000,,DELANCEY STREET,1
1003520001,,,ESSEX STREET,1
1003530039,,130,DELANCEY STREET,1
1003530041,,126,DELANCEY STREET,1
1003540025,,143,NORFOLK STREET,1
1003670001,0000000000,152,AVENUE D,1
1003840040,0000000000,,EAST HOUSTON STREET,1
1003990051,0000000000,173,EAST 3 STREET,1
1004110018,0000000000,101,STANTON STREET,1
1004120050,,,LUDLOW STREET,1
1004179072,0000000000,,ALLEN STREET,1
1004179076,0000000000,,ALLEN STREET,1
1004200040,,40,DELANCEY STREET,1
1004260028,,199,CHRYSTIE STREET,1
1004580030,0000000000,41,2 AVENUE,1
1004780007,,,ELIZABETH STREET,1
1004790050,0000000000,,BROOME STREET,1
1004930030,0000000000,,SPRING STREET,1
1004930111,0000000000,232,MOTT STREET,1
1005130012,,,WEST HOUSTON STREET,1
1005280186,0000000000,49,DOWNING STREET,1
1005330020,0000000000,535,LA GUARDIA PLACE,1
1005330030,0000000000,1,WASHINGTON SQ VLLGE,1
1005350020,0000000000,251,MERCER STREET,1
1005358020,0000000000,251,MERCER STREET,1
1005390070,0000000000,,THOMPSON STREET,1
1005440075,0000000000,,3 AVENUE,1
1005520005,,,6 AVENUE,1
1005520037,,,6 AVENUE,1
1005530044,0000000000,127,WAVERLY PLACE,1
1005730001,,,6 AVENUE,1
1005780001,0000000000,,HUDSON STREET,1
1005790005,,,HUDSON STREET,1
1005820035,0000000000,51,CARMINE STREET,1
1005830037,0000000000,30,7 AVENUE SOUTH,1
1005950009,0000000000,536I,CANAL STREET,1
1006050008,,,GREENWICH STREET,1
1006110037,0000000000,,7 AVENUE,1
1006160001,0000000000,42,8 AVENUE,1
1006180001,,,8 AVENUE,1
1006240070,0000000000,,BANK STREET,1
1006250037,0000000000,,JANE STREET,1
1006360001,0000000000,388,WEST STREET,1
1006370053,,,,1
1006420001,0000000000,113,JANE STREET,1
1006420004,0000000000,110,HORATIO STREET,1
1006460010,,,WEST 14 STREET,1
1006460020,,,WEST 13 STREET,1
1006510005,0000000000,,PIER 49,1
1006510007,0000000000,,PIER 54,1
1006510009,0000000000,,PIER 50,1
1006510011,0000000000,46,MARGINAL STREET,1
1006510013,0000000000,503,WEST STREET,1
1006510017,0000000000,,PIER 52,1
1006510048,0000000000,,PIER 48,1
1006560004,0000000000,,PIER 32,1
1006560007,0000000000,,PIER 45,1
1006560009,0000000000,,PIER 34,1
1006560013,0000000000,,PIER 36,1
1006560042,0000000000,,PIER 42,1
1006600501,0000000000,,JOE DIMAGGIO HIGHWAY,1
1006620002,0000000000,,MARGINAL STREET,1
1006620013,0000000000,199,12 AVENUE,1
1006650006,0000000000,,MARGINAL STREET,1
1006650019,0000000000,451,12 AVENUE,1
1006650020,0000000000,,,1
1006650067,0000000000,,12 AVENUE,1
1006650068,0000000000,,12 AVENUE,1
1006650072,0000000000,,MARGINAL STREET,1
1006650111,0000000000,,12 AVENUE,1
1006650211,0000000000,,12 AVENUE,1
1006760003,,,12 AVENUE,1
1006910027,,,,1
1006939064,0000000000,,11 AVENUE,1
1006950027,,,WEST 23 STREET,1
1006991401,,527,WEST 27TH STREET,1
1006991402,,527,WEST 27TH STREET,1
1006991403,,527,WEST 27TH STREET,1
1006991404,,527,WEST 27TH STREET,1
1006991405,,527,WEST 27TH STREET,1
1006991406,,527,WEST 27TH STREET,1
1006991407,,527,WEST 27TH STREET,1
1006991408,,527,WEST 27TH STREET,1
1006991409,,527,WEST 27TH STREET,1
1006991410,,527,WEST 27TH STREET,1
1006991411,,527,WEST 27TH STREET,1
1006991412,,527,WEST 27TH STREET,1
1006991413,,527,WEST 27TH STREET,1
1006991414,,527,WEST 27TH STREET,1
1006991415,,527,WEST 27TH STREET,1
1006991416,,527,WEST 27TH STREET,1
1006991417,,527,WEST 27TH STREET,1
1006991418,,527,WEST 27TH STREET,1
1006991419,,527,WEST 27TH STREET,1
1006991420,,527,WEST 27TH STREET,1
1006991421,,527,WEST 27TH STREET,1
1006991422,,527,WEST 27TH STREET,1
1006991423,,527,WEST 27TH STREET,1
1006991424,,527,WEST 27TH STREET,1
1006991425,,527,WEST 27TH STREET,1
1006991426,,527,WEST 27TH STREET,1
1006991427,,527,WEST 27TH STREET,1
1006991428,,527,WEST 27TH STREET,1
1006991429,,527,WEST 27TH STREET,1
1006991430,,527,WEST 27TH STREET,1
1006991431,,527,WEST 27TH STREET,1
1006991432,,527,WEST 27TH STREET,1
1006991433,,527,WEST 27TH STREET,1
1006991434,,527,WEST 27TH STREET,1
1006991435,,527,WEST 27TH STREET,1
1006991436,,527,WEST 27TH STREET,1
1006991437,,527,WEST 27TH STREET,1
1006991438,,527,WEST 27TH STREET,1
1006997504,,527,WEST 27TH STREET,1
1007000038,,504,WEST 29 STREET,1
1007010030,,,WEST 29 STREET,1
1007010045,,,WEST 30 STREET,1
1007010052,,,WEST 30 STREET,1
1007020001,,,WEST 30 STREET,1
1007020050,,,,1
1007020180,0000000000,,WEST 33 STREET,1
1007021305,,30,HUDSON YARDS,1
1007021306,,30,HUDSON YARDS,1
1007021307,,30,HUDSON YARDS,1
1007021308,,30,HUDSON YARDS,1
1007028002,,,N/A,1
1007028003,,,N/A,1
1007028004,0000000000,,11 AVENUE,1
1007100060,0000000000,,11 AVENUE,1
1007140001,,,10 AVENUE,1
1007290006,,,,1
1007290015,0000000000,,WEST 31 STREET,1
1007290050,,,9 AVENUE,1
1007298051,0000000000,,9 AVENUE,1
1007310164,0000000000,,WEST 34 STREET,1
1007319050,,,WEST 34 STREET,1
1007330047,,,WEST 36 STREET,1
1007330058,,,WEST 36 STREET,1
1007440047,0000000000,310,WEST 21 STREET,1
1007559040,,441,8 AVENUE,1
1007590041,0000000000,,8 AVENUE,1
1007600026,,315,WEST 36 STREET,1
1007640120,0000000000,,WEST 14 STREET,1
1007670047,,206,WEST 18 STREET,1
1007740173,0000000000,,WEST 25 STREET,1
1007819002,0000000000,2,PENN PLAZA,1
1007999021,0000000000,,WEST 23 STREET,1
1008040171,0000000000,,WEST 29 STREET,1
1008080001,,,7 AVENUE,1
1008100045,0000000000,1,HERALD SQUARE,1
1008120167,0000000000,,WEST 37 STREET,1
1008200058,0000000000,,6 AVENUE,1
1008300144,0000000000,,5 AVENUE,1
1008340068,0000000000,,WEST 33 STREET,1
1008341022,,20,WEST 33RD STREET,1
1008450010,0000000000,,UNION SQUARE,1
1008560011,,15,EAST 26 STREET,1
1008599012,0000000000,11,EAST 29 STREET,1
1008600063,,126,MADISON AVENUE,1
1008600067,,132,MADISON AVENUE,1
1008600069,,22,EAST 31 STREET,1
1008609067,0000000000,132,MADISON AVENUE,1
1008610012,,15,EAST 31 STREET,1
1008630128,0000000000,,EAST 33 STREET,1
1008640059,0000000000,,EAST 35 STREET,1
1008820126,0000000000,,LEXINGTON AVENUE,1
1008990047,0000000000,218,EAST 19 STREET,1
1008990048,0000000000,216,EAST 19 STREET,1
1008990049,0000000000,214,EAST 19 STREET,1
1008990051,0000000000,210,EAST 19 STREET,1
1009011001,,200,EAST 21ST STREET,1
1009011002,,200,EAST 21ST STREET,1
1009011003,,200,EAST 21ST STREET,1
1009011004,,200,EAST 21ST STREET,1
1009011005,,200,EAST 21ST STREET,1
1009011006,,200,EAST 21ST STREET,1
1009011007,,200,EAST 21ST STREET,1
1009011008,,200,EAST 21ST STREET,1
1009011009,,200,EAST 21ST STREET,1
1009011010,,200,EAST 21ST STREET,1
1009011011,,200,EAST 21ST STREET,1
1009011012,,200,EAST 21ST STREET,1
1009011013,,200,EAST 21ST STREET,1
1009011014,,200,EAST 21ST STREET,1
1009011015,,200,EAST 21ST STREET,1
1009011016,,200,EAST 21ST STREET,1
1009011017,,200,EAST 21ST STREET,1
1009011018,,200,EAST 21ST STREET,1
1009011019,,200,EAST 21ST STREET,1
1009011020,,200,EAST 21ST STREET,1
1009011021,,200,EAST 21ST STREET,1
1009011022,,200,EAST 21ST STREET,1
1009011023,,200,EAST 21ST STREET,1
1009011024,,200,EAST 21ST STREET,1
1009011025,,200,EAST 21ST STREET,1
1009011026,,200,EAST 21ST STREET,1
1009011027,,200,EAST 21ST STREET,1
1009011028,,200,EAST 21ST STREET,1
1009011029,,200,EAST 21ST STREET,1
1009011030,,200,EAST 21ST STREET,1
1009011031,,200,EAST 21ST STREET,1
1009011032,,200,EAST 21ST STREET,1
1009011033,,200,EAST 21ST STREET,1
1009011034,,200,EAST 21ST STREET,1
1009011035,,200,EAST 21ST STREET,1
1009011036,,200,EAST 21ST STREET,1
1009011037,,200,EAST 21ST STREET,1
1009011038,,200,EAST 21ST STREET,1
1009011039,,200,EAST 21ST STREET,1
1009011040,,200,EAST 21ST STREET,1
1009011041,,200,EAST 21ST STREET,1
1009011042,,200,EAST 21ST STREET,1
1009011043,,200,EAST 21ST STREET,1
1009011044,,200,EAST 21ST STREET,1
1009011045,,200,EAST 21ST STREET,1
1009011046,,200,EAST 21ST STREET,1
1009011047,,200,EAST 21ST STREET,1
1009011048,,200,EAST 21ST STREET,1
1009011049,,200,EAST 21ST STREET,1
1009011050,,200,EAST 21ST STREET,1
1009011051,,200,EAST 21ST STREET,1
1009011052,,200,EAST 21ST STREET,1
1009011053,,200,EAST 21ST STREET,1
1009011054,,200,EAST 21ST STREET,1
1009011055,,200,EAST 21ST STREET,1
1009011056,,200,EAST 21ST STREET,1
1009011057,,200,EAST 21ST STREET,1
1009011058,,200,EAST 21ST STREET,1
1009011059,,200,EAST 21ST STREET,1
1009011060,,200,EAST 21ST STREET,1
1009011061,,200,EAST 21ST STREET,1
1009011062,,200,EAST 21ST STREET,1
1009011063,,200,EAST 21ST STREET,1
1009011064,,200,EAST 21ST STREET,1
1009011065,,200,EAST 21ST STREET,1
1009011066,,200,EAST 21ST STREET,1
1009011067,,200,EAST 21ST STREET,1
1009011068,,200,EAST 21ST STREET,1
1009017501,,200,EAST 21ST STREET,1
1009110017,,227,EAST 30 STREET,1
1009150009,0000000000,,EAST 34 STREET,1
1009170032,0000000000,,2 AVENUE,1
1009190012,0000000000,,EAST 38 STREET,1
1009360045,,,2 AVENUE,1
1009390006,,,2 AVENUE,1
1009390007,,,EAST 33 STREET,1
1009390008,,,EAST 33 STREET,1
1009390009,,,EAST 33 STREET,1
1009390029,,,1 AVENUE,1
1009399037,0000000000,,1 AVENUE,1
1009430010,0000000000,,EAST 37 STREET,1
1009440009,0000000000,,EAST 38 STREET,1
1009440053,0000000000,,EAST 39 STREET,1
1009450011,,,2 AVENUE,1
1009620008,,,EAST 30 STREET,1
1009620050,0000000000,500,EAST 30 STREET,1
1009680050,0000000000,,MARGINAL STREET,1
1009690050,0000000000,,MARGINAL STREET,1
1009700014,0000000000,,MARGINAL STREET,1
1009880075,0000000000,,AVENUE C,1
1009900090,0000000000,,F D R DRIVE,1
1009910035,0000000000,,F D R DRIVE,1
1009910037,0000000000,,F D R DRIVE,1
1009910059,0000000000,24-50,FDR DRIVE,1
1009910060,0000000000,25-00,FDR DRIVE,1
1009910061,0000000000,40,WATERSIDE PLAZA,1
1009920050,0000000000,,MARGINAL STREET,1
1009990061,,1568,BROADWAY,1
1009990065,,1562,BROADWAY,1
1010149058,0000000000,,WEST 42 STREET,1
1010180128,0000000000,1567,BROADWAY,1
1010250001,,,8 AVENUE,1
1010410039,0000000000,,WEST 51 STREET,1
1010482103,1010487503,301,WEST 57 STREET,1
1010510016,0000000000,,DYER AVENUE,1
1010690008,,,WEST 40 STREET,1
1010690056,,,WEST 41 STREET,1
1010690060,,,11 AVENUE,1
1010730001,,,11 AVENUE,1
1010740024,,,11 AVENUE,1
1010750023,,,WEST 46 STREET,1
1010760024,,,WEST 47 STREET,1
1010800025,,,11 AVENUE,1
1010810039,,,10 AVENUE,1
1010810044,,,10 AVENUE,1
1010820001,,,11 AVENUE,1
1010861101,,555,WEST 57TH STREET,1
1010861102,,555,WEST 57TH STREET,1
1010861103,,555,WEST 57TH STREET,1
1010861104,,555,WEST 57TH STREET,1
1010861105,,555,WEST 57TH STREET,1
1010861106,,555,WEST 57TH STREET,1
1010861107,,555,WEST 57TH STREET,1
1010861108,,555,WEST 57TH STREET,1
1010861109,,555,WEST 57TH STREET,1
1010861110,,555,WEST 57TH STREET,1
1010861111,,555,WEST 57TH STREET,1
1010861112,,555,WEST 57TH STREET,1
1010861113,,555,WEST 57TH STREET,1
1010861114,,555,WEST 57TH STREET,1
1010861115,,555,WEST 57TH STREET,1
1010861116,,555,WEST 57TH STREET,1
1010861117,,555,WEST 57TH STREET,1
1010861118,,555,WEST 57TH STREET,1
1010867502,,555,WEST 57TH STREET,1
1010870001,,,11 AVENUE,1
1010950018,,617,WEST 47 STREET,1
1011070011,0000000000,,MARGINAL STREET,1
1011100001,0000000000,,BODY OF WATER,1
1011130029,,,BROADWAY,1
1011160001,0000000000,,BROADWAY,1
1011189001,0000000000,60,WEST 66 STREET,1
1011321227,1011327501,161,WEST 61 STREET,1
1011370001,,160,WEST 66 STREET,1
1011379061,0000000000,,AMSTERDAM AVENUE,1
1011420161,0000000000,154,WEST 71 STREET,1
1011640043,0000000000,234,WEST 73 STREET,1
1011660135,0000000000,200,WEST 75 STREET,1
1011710005,0000000000,,WEST 70 STREET,1
1011710010,0000000000,,WEST 72 STREET,1
1011710011,0000000000,,WEST 70 STREET,1
1011710012,0000000000,,WEST 70 STREET,1
1011710034,0000000000,,JOE DIMAGGIO HIGHWAY,1
1011710064,0000000000,,WEST END AVENUE,1
1011710069,0000000000,,WEST 63 STREET,1
1011710073,0000000000,,WEST 63 STREET,1
1011710100,0000000000,,12 AVENUE,1
1011710128,0000000000,,RIVERSIDE BOULEVARD,1
1011710136,0000000000,,WEST END AVENUE,1
1011710162,0000000000,101,WEST END AVENUE,1
1011710163,0000000000,53,WEST END AVENUE,1
1011710172,0000000000,,RIVERSIDE BOULEVARD,1
1011710173,0000000000,,RIVERSIDE BOULEVARD,1
1011710200,0000000000,,WEST 72 STREET,1
1011711573,,220,RIVERSIDE BOULEVARD,1
1011714187,,80,RIVERSIDE BOULEVARD,1
1011714192,,80,RIVERSIDE BOULEVARD,1
1011719121,0000000000,,RIVERSIDE BOULEVARD,1
1011719134,,,RIVERSIDE BOULEVARD,1
1011830134,0000000000,,WEST END AVENUE,1
1011870002,0000000000,,RIVERSIDE PARK,1
1011870003,0000000000,,RIVERSIDE PARK,1
1011870004,0000000000,,RIVERSIDE PARK,1
1012029026,0000000000,279,CENTRAL PARK WEST,1
1012160165,0000000000,,WEST 86 STREET,1
1012229029,0000000000,100,WEST 92 STREET,1
1012287504,,250,WEST 81ST STREET,1
1012297504,,442,AMSTERDAM AVENUE,1
1012310012,0000000000,,WEST 84 STREET,1
1012540001,0000000000,,RIVERSIDE DRIVE,1
1012540002,0000000000,,RIVERSIDE PARK,1
1012591008,,36,WEST 44 STREET,1
1012591016,,36,WEST 44 STREET,1
1012620022,0000000000,,WEST 46 STREET,1
1012650040,0000000000,,WEST 49 STREET,1
1012658040,0000000000,,WEST 49 STREET,1
1012680011,,,WEST 53 STREET,1
1012690014,,35,WEST 53 STREET,1
1012710048,0000000000,,WEST 56 STREET,1
1012740034,0000000000,1,GRAND ARMY PLAZA,1
1012800060,,,LEXINGTON AVENUE,1
1012800154,0000000000,416,LEXINGTON AVENUE,1
1012808154,0000000000,416,LEXINGTON AVENUE,1
1012808254,0000000000,416,LEXINGTON AVENUE,1
1012809154,0000000000,416,LEXINGTON AVENUE,1
1012810030,0000000000,,EAST 45 STREET,1
1012820030,0000000000,,EAST 46 STREET,1
1012949037,0000000000,500,PARK AVENUE,1
1012960046,,,EAST 42 STREET,1
1013000006,,,EAST 45 STREET,1
1013000014,,,LEXINGTON AVENUE,1
1013001025,1013007501,237,PARK AVENUE,1
1013020001,,,PARK AVENUE,1
1013040001,,301,PARK AVENUE,1
1013050128,0000000000,,EAST 51 STREET,1
1013120070,0000000000,101,EAST 57 STREET,1
1013140009,,633,3 AVENUE,1
1013209018,0000000000,240,EAST 47 STREET,1
1013320046,,987,3 AVENUE,1
1013320047,,985,3 AVENUE,1
1013500008,0000000000,311,EAST 57 STREET,1
1013510008,0000000000,317,EAST 58 STREET,1
1013530012,0000000000,,1 AVENUE,1
1013540050,0000000000,,EAST 42 STREET,1
1013600060,0000000000,,EAST 49 STREET,1
1013610060,0000000000,,EAST 50 STREET,1
1013630060,0000000000,,F D R DRIVE,1
1013630063,0000000000,,EAST 52 STREET,1
1013640060,0000000000,,EAST 53 STREET,1
1013650060,0000000000,,EAST 54 STREET,1
1013680143,0000000000,,EAST 57 STREET,1
1013710014,0000000000,45,SUTTON PLACE SOUTH,1
1013710030,0000000000,,EAST 55 STREET,1
1013710051,0000000000,,EAST 56 STREET,1
1013720001,0000000000,,EAST 56 STREET,1
1013720020,0000000000,,EAST 57 STREET,1
1013720025,0000000000,,EAST 57 STREET,1
1013720047,0000000000,,SUTTON SQUARE,1
1013720049,0000000000,,RIVERVIEW TERRACE,1
1013720052,0000000000,,RIVERVIEW TERRACE,1
1013720053,0000000000,,RIVERVIEW TERRACE,1
1013720054,0000000000,,RIVERVIEW TERRACE,1
1013720086,0000000000,,RIVERVIEW TERRACE,1
1013720088,0000000000,,EAST 59 STREET,1
1013720090,0000000000,,EAST 59 STREET,1
1013730060,,,NORTH LOOP ROAD,1
1013730160,0000000000,22,NORTH LOOP ROAD,1
1013730200,0000000000,,U THANT ISLAND,1
1013860144,0000000000,,EAST 72 STREET,1
1013930023,0000000000,1011,MADISON AVENUE,1
1013987503,,184,EAST 64 STREET,1
1014030133,,,LEXINGTON AVENUE,1
1014038033,,,LEXINGTON AVENUE,1
1014061344,,737,PARK AVENUE,1
1014310120,0000000000,,EAST 76 STREET,1
1014460051,0000000000,300,EAST 72 STREET,1
1014479030,0000000000,,EAST 73 STREET,1
1014500109,0000000000,,EAST 75 STREET,1
1014510106,0000000000,,EAST 76 STREET,1
1014520151,0000000000,,SECOND AVENUE,1
1014740001,0000000000,,EAST 59 STREET,1
1014740009,0000000000,,FDR DRIVE,1
1014800060,0000000000,,FDR DRIVE,1
1014800110,0000000000,,FDR DRIVE,1
