bldgclass,landuse,landusevalue
A0,01,One and Two Family Buildings
A1,01,One and Two Family Buildings
A2,01,One and Two Family Buildings
A3,01,One and Two Family Buildings
A4,01,One and Two Family Buildings
A5,01,One and Two Family Buildings
A6,01,One and Two Family Buildings
A7,01,One and Two Family Buildings
A8,01,One and Two Family Buildings
A9,01,One and Two Family Buildings
B1,01,One and Two Family Buildings
B2,01,One and Two Family Buildings
B3,01,One and Two Family Buildings
B9,01,One and Two Family Buildings
Z0,01,One and Two Family Buildings
C0,02,Multi-Family Walk-Up Buildings
C1,02,Multi-Family Walk-Up Buildings
C2,02,Multi-Family Walk-Up Buildings
C3,02,Multi-Family Walk-Up Buildings
C4,02,Multi-Family Walk-Up Buildings
C5,02,Multi-Family Walk-Up Buildings
C6,02,Multi-Family Walk-Up Buildings
C8,02,Multi-Family Walk-Up Buildings
C9,02,Multi-Family Walk-Up Buildings
CM,02,Multi-Family Walk-Up Buildings
R1,02,Multi-Family Walk-Up Buildings
R2,02,Multi-Family Walk-Up Buildings
R3,02,Multi-Family Walk-Up Buildings
R6,02,Multi-Family Walk-Up Buildings
D0,03,Multi-Family Elevator Buildings
D1,03,Multi-Family Elevator Buildings
D2,03,Multi-Family Elevator Buildings
D3,03,Multi-Family Elevator Buildings
D4,03,Multi-Family Elevator Buildings
D5,03,Multi-Family Elevator Buildings
D8,03,Multi-Family Elevator Buildings
D9,03,Multi-Family Elevator Buildings
H6,03,Multi-Family Elevator Buildings
H7,03,Multi-Family Elevator Buildings
R4,03,Multi-Family Elevator Buildings
RD,03,Multi-Family Elevator Buildings
C7,04,Mixed Residential and Commercial Buildings
D6,04,Mixed Residential and Commercial Buildings
D7,04,Mixed Residential and Commercial Buildings
K4,04,Mixed Residential and Commercial Buildings
O8,04,Mixed Residential and Commercial Buildings
R8,04,Mixed Residential and Commercial Buildings
R9,04,Mixed Residential and Commercial Buildings
RM,04,Mixed Residential and Commercial Buildings
RR,04,Mixed Residential and Commercial Buildings
RX,04,Mixed Residential and Commercial Buildings
RZ,04,Mixed Residential and Commercial Buildings
S0,04,Mixed Residential and Commercial Buildings
S1,04,Mixed Residential and Commercial Buildings
S2,04,Mixed Residential and Commercial Buildings
S3,04,Mixed Residential and Commercial Buildings
S4,04,Mixed Residential and Commercial Buildings
S5,04,Mixed Residential and Commercial Buildings
S9,04,Mixed Residential and Commercial Buildings
G8,05,Commercial and Office Buildings
GU,05,Commercial and Office Buildings
GW,05,Commercial and Office Buildings
H1,05,Commercial and Office Buildings
H2,05,Commercial and Office Buildings
H3,05,Commercial and Office Buildings
H4,05,Commercial and Office Buildings
H5,05,Commercial and Office Buildings
H9,05,Commercial and Office Buildings
HB,05,Commercial and Office Buildings
