zonedist,Contextual,zoningdistricttype,residfar,facilfar,commfar,mnffar,Column1,verified,
BALL FIELD,-,-,-,-,-,-,,,
BPC,-,-,-,-,-,-,,y,
C1-6,Non-contextual,Local Retail and Service, 	3.44 , 	6.50 , 	2.00 ,-,,y,
C1-6A,Contextual,Local Retail and Service, 	4.00 , 	4.00 , 	2.00 ,-,,y,
C1-7,Non-contextual,Local Retail and Service, 	6.02 , 	6.50 , 	2.00 ,-,,y,
C1-7A,Contextual,Local Retail and Service, 	6.02 , 	6.50 , 	2.00 ,-,,y,
C1-8,Non-contextual,Local Retail and Service, 	7.52 , 	10.00 , 	2.00 ,-,,y,
C1-8A,Contextual,Local Retail and Service, 	7.52 , 	7.50 , 	2.00 ,-,,y,
C1-8X,Contextual,Local Retail and Service, 	9.00 , 	9.00 , 	2.00 ,-,,y,
C1-9,Non-contextual,Local Retail and Service, 	10.00 , 	10.00 , 	2.00 ,-,,y,
C1-9A,Contextual,Local Retail and Service, 	10.00 , 	10.00 , 	2.00 ,-,,y,
C2-6,Non-contextual,Local Retail and Service, 	3.44 , 	6.50 , 	2.00 ,-,,y,
C2-6A,Contextual,Local Retail and Service, 	4.00 , 	4.00 , 	2.00 ,-,,y,
C2-7,Non-contextual,Local Retail and Service, 	7.52 , 	10.00 , 	2.00 ,-,,y,
C2-7A,Contextual,Local Retail and Service, 	7.52 , 	7.50 , 	2.00 ,-,,y,
C2-8,Non-contextual,Local Retail and Service, 	10.00 , 	10.00 , 	2.00 ,-,,y,
C2-8A,Contextual,Local Retail and Service, 	10.00 , 	10.00 , 	2.00 ,-,,y,
C3,Non-contextual,Waterfront Recreation, 	0.50 , 	1.00 , 	0.50 ,-,,y,
C3A,Contextual,Waterfront Recreation, 	0.50 , 	1.00 , 	0.50 ,-,,y,
C4-1,Non-contextual,General Commercial, 	1.25 , 	2.00 , 	1.00 ,-,,y,
C4-2,Non-contextual,General Commercial, 	2.43 , 	4.80 , 	3.40 ,-,,y,
C4-2A,Contextual,General Commercial, 	3.00 , 	3.00 , 	3.00 ,-,,y,
C4-2F,Non-contextual,General Commercial, 	6.02 , 	6.50 , 	3.40 ,-,,y,
C4-3,Non-contextual,General Commercial, 	2.43 , 	4.80 , 	3.40 ,-,,y,
C4-3A,Contextual,General Commercial, 	3.00 , 	3.00 , 	3.00 ,-,,y,
C4-4,Non-contextual,General Commercial, 	3.44 , 	6.50 , 	3.40 ,-,,y,
C4-4A,Contextual,General Commercial, 	4.00 , 	4.00 , 	4.00 ,-,,y,
C4-4D,Contextual,General Commercial, 	6.02 , 	6.50 , 	3.40 ,-,,y,
C4-4L,Contextual,General Commercial, 	4.00 , 	4.00 , 	4.00 ,-,,y,
C4-5,Non-contextual,General Commercial, 	3.44 , 	6.50 , 	3.40 ,-,,y,
C4-5A,Contextual,General Commercial, 	4.00 , 	4.00 , 	4.00 ,-,,y,
C4-5D,Contextual,General Commercial, 	4.20 , 	4.20 , 	4.20 ,-,,y,
C4-5X,Contextual,General Commercial, 	5.00 , 	5.00 , 	4.00 ,-,,y,
C4-6,Non-contextual,General Commercial, 	10.00 , 	10.00 , 	3.40 ,-,,y,
C4-6A,Contextual,General Commercial, 	10.00 , 	10.00 , 	3.40 ,-,,y,
